namn,stad,lan,email,hemsida,facebook,kalla
Hunddagis Rumpansen,Västerås,Västmanlands län,info@rumpansen.se,https://rumpansen.se,,google_maps
Fyrbenta Vänner AB,Västerås,Västmanlands län,hej@fyrbentavannervas.se,https://fyrbentavannervas.se,https://www.facebook.com/fyrbentavannervas,google_maps
Ludde & Co Hundpensionat,Uppsala,Uppsala län,kontakt@luddeco.se,https://luddeco.se,,google_maps
Uppsala Hunddagis,Uppsala,Uppsala län,,https://uppsalahdagis.se,https://www.facebook.com/uppsaladagis,google_maps
Vovvehotellet,Uppsala,Uppsala län,vovve@vovvehotellet.se,https://vovvehotellet.se,,google_maps
Hundgården Örebro,Örebro,Örebro län,info@hundgarden.se,https://hundgarden.se,,google_maps
Tassar & Nos AB,Örebro,Örebro län,hej@tassarochnas.se,https://tassarochnas.se,https://www.facebook.com/tassarochnas,google_maps
Happy Paws Hundhotell,Örebro,Örebro län,,https://happypaws.se,,directory
Linköpings Hunddagis,Linköping,Östergötlands län,info@lkpgdagis.se,https://lkpgdagis.se,,google_maps
Mångkulle Hundpensionat,Linköping,Östergötlands län,kontakt@mangkulle.se,https://mangkulle.se,https://www.facebook.com/mangkulle,google_maps
Frasse på Landet,Linköping,Östergötlands län,frasse@frassepalandet.se,https://frassepalandet.se,,google_maps
Hunddagis Solrosen,Helsingborg,Skåne län,info@solrosen-hund.se,https://solrosen-hund.se,https://www.facebook.com/solrosenhund,google_maps
Hundhotellet Helsingborg,Helsingborg,Skåne län,,https://hundhotellethelsingborg.se,,google_maps
Norrporten Hundpensionat,Helsingborg,Skåne län,norrporten@hund.se,https://norrportenhund.se,,directory
Lekparken för Hundar,Helsingborg,Skåne län,hej@lekparken.se,https://lekparken.se,https://www.facebook.com/lekparken,google_maps
