namn,friendly_name,stad,lan,email,hemsida,facebook,kalla,skickat,datum,tid
Kennel Juni's,Kennel Juni's,Danmark,Hovedstaden,mail@junis-labrador.dk,http://www.junis-labrador.dk,,google_maps,,,
Kennel Vestegnen,Kennel Vestegnen,Danmark,Hovedstaden,kennel-vestegnen@mail.dk,https://www.kennel-vestegnen.dk,,google_maps,,,
Møllehusets-Kennel,Møllehuset,Danmark,Hovedstaden,mailto:kennelfourjacks@gmail.com,http://kennelfourjacks.dk,,google_maps,,,
Kennel Catithre,Kennel Catithre,Danmark,Hovedstaden,,http://www.catithre.dk,,google_maps,,,
Kennel Dreamlapin's,Kennel Dreamlapin's,Danmark,Hovedstaden,,https://dreamlapins.dk/stamtavle-2,,google_maps,,,
Kennel Nicla,Kennel Nicla,Danmark,Hovedstaden,,http://www.skotskterrier.dk/kontakt,https://www.facebook.com/jane.j.hansen.5,google_maps,,,
Kennel Stabybuurs,Kennel Stabybuurs,Danmark,Hovedstaden,lb@actio-consulting.dk,https://www.stabybuurs.dk,,google_maps,,,
Beagle Opdræt,Beagle Opdræt,Danmark,Hovedstaden,nina@daisyhill.dk,http://www.daisyhill.dk/hunde.html,,google_maps,,,
Danish Kennel Club,Danish Club,Danmark,Hovedstaden,post@dkk.dk,http://www.dkk.dk,,google_maps,,,
russian blue opdræt,russian blue opdræt,Danmark,Hovedstaden,penthouse44@mail.dk,http://misseriet.dk/wordpress/kontakt,,google_maps,,,
KENNEL LABTWINS,KENNEL LABTWINS,Danmark,Hovedstaden,,http://kennellabtwins.com,,google_maps,,,
Kennel Blanding,Kennel Blanding,Danmark,Hovedstaden,pensionhait@hotmail.com,http://www.kennelblanding.dk,,google_maps,,,
Kennel Darfy,Kennel Darfy,Danmark,Hovedstaden,pernille@s-el.dk,https://kennel-darfy.dk,,google_maps,,,
Kennel Lil' Footsteps,Kennel Lil' Footsteps,Danmark,Hovedstaden,,https://lilfootsteps.dk,https://www.facebook.com/KennelLilFootsteps,google_maps,,,
Dawn's Gold | Kennel Golden Retriever,Dawn's Gold | Golden Retriever,Danmark,Hovedstaden,grytange@outlook.dk,https://www.dawnsgold.dk,https://www.facebook.com/gry.tange,google_maps,,,
The South Harbour dog kennel,The South Harbour dog,Danmark,Hovedstaden,,,,google_maps,,,
Kennel Alekri,Kennel Alekri,Danmark,Hovedstaden,alba@alekri.dk,http://alekri.dk,,google_maps,,,
Kennel All-Does,Kennel All-Does,Danmark,Midtjylland,,http://www.all-does.dk,,google_maps,,,
Kennel Lewanika,Kennel Lewanika,Danmark,Midtjylland,helle@lewanika.dk,http://www.lewanika.dk,https://facebook.com/1544253235889050,google_maps,,,
Kennel Rosefield Michael Rosenlund(Åbent efter aftale),Kennel Rosefield Michael Rosenlund(Åbent efter aftale),Danmark,Midtjylland,rosefieldgundog@gmail.com,http://www.rosefield.dk,,google_maps,,,
Kennel Kjær,Kennel Kjær,Danmark,Midtjylland,,https://kennel-kjaer.dk/nyhed,,google_maps,,,
Kennel Alpha Natura,Kennel Alpha Natura,Danmark,Midtjylland,,,,google_maps,,,
Barf-Østjylland/Kennel Spidsbjørnens,Barf-Østjylland/Kennel Spidsbjørnens,Danmark,Midtjylland,,,,google_maps,,,
kennel finnone,kennel finnone,Danmark,Midtjylland,,,,google_maps,,,
Kennel Landkilden,Kennel Landkilden,Danmark,Syddanmark,kennel@landkildens.dk,http://www.landkildens.dk,https://www.facebook.com/landkilden.dk,google_maps,,,
"Kennel Litgeisli, opdræt af islandske fårehunde.","Kennel Litgeisli, opdræt af islandske fårehunde",Danmark,Syddanmark,klub@islandshunden.dk,https://www.islandshunden.dk/side.asp,https://www.facebook.com/islandskfaarehund,google_maps,,,
Kennel Nellie Gold,Kennel Nellie Gold,Danmark,Syddanmark,,,,google_maps,,,
Kennel Holebæk,Kennel Holebæk,Danmark,Syddanmark,,,,google_maps,,,
Kennel Joliga,Kennel Joliga,Danmark,Syddanmark,gittesjaelland@gmail.com,http://www.joliga.dk/b1.php,,google_maps,,,
Kennel Snestrup,Kennel Snestrup,Danmark,Syddanmark,,http://www.kennelsnestrup.dk,,google_maps,,,
Kennel Lapinlumon,Kennel Lapinlumon,Danmark,Syddanmark,info@lapinlumon.com,https://www.lapinlumon.com,https://www.facebook.com/pages/Kennel-Lapinlumon/470007296398303,google_maps,,,
