namn,stad,lan,email,hemsida,facebook,kalla,raw_address,phone,raw_source
Kennel Juni's,Danmark,Hovedstaden,mail@junis-labrador.dk,http://www.junis-labrador.dk,,google_maps,"Byværnsvej 20, 2860 Søborg, Danmark",+45 44 84 16 69,serpapi_google_maps
Kennel Vestegnen,Danmark,Hovedstaden,kennel-vestegnen@mail.dk,https://www.kennel-vestegnen.dk,,google_maps,"Lillemosevej 17, 2640 Hedehusene, Danmark",+45 46 13 77 88,serpapi_google_maps
Møllehusets-Kennel,Danmark,Hovedstaden,mailto:kennelfourjacks@gmail.com,http://kennelfourjacks.dk,,google_maps,"Nymøllevej 21, 2800 Kongens Lyngby, Danmark",+45 60 88 04 62,serpapi_google_maps
Kennel Catithre,Danmark,Hovedstaden,,http://www.catithre.dk,,google_maps,"Pilevej 6, 2740 Skovlunde, Danmark",+45 40 76 38 50,serpapi_google_maps
Kennel Dreamlapin's,Danmark,Hovedstaden,,https://dreamlapins.dk/stamtavle-2,,google_maps,"Holmbladsgade 102, 2300 København, Danmark",+45 40 41 13 38,serpapi_google_maps
Kennel Nicla,Danmark,Hovedstaden,,http://www.skotskterrier.dk/kontakt,https://www.facebook.com/jane.j.hansen.5,google_maps,"Løvsangervej, 3660 Stenløse, Danmark",+45 29 47 70 56,serpapi_google_maps
Kennel Stabybuurs,Danmark,Hovedstaden,lb@actio-consulting.dk,https://www.stabybuurs.dk,,google_maps,"Østre Lagunevej 22, 2680 Solrød Strand, Danmark",+45 26 71 44 03,serpapi_google_maps
Beagle Opdræt,Danmark,Hovedstaden,nina@daisyhill.dk,http://www.daisyhill.dk/hunde.html,,google_maps,"Topasvej, 2730 Herlev, Danmark",+45 44 94 88 45,serpapi_google_maps
Danish Kennel Club,Danmark,Hovedstaden,post@dkk.dk,http://www.dkk.dk,,google_maps,"Parkvej 1, 2680 Solrød Strand, Danmark",+45 56 18 81 00,serpapi_google_maps
russian blue opdræt,Danmark,Hovedstaden,penthouse44@mail.dk,http://misseriet.dk/wordpress/kontakt,,google_maps,"Bueparken 94, 2750 Ballerup, Danmark",+45 47 10 85 20,serpapi_google_maps
KENNEL LABTWINS,Danmark,Hovedstaden,,http://kennellabtwins.com,,google_maps,"Drosselvej 5, 2670 Greve, Danmark",+45 23 82 07 49,serpapi_google_maps
Kennel Blanding,Danmark,Hovedstaden,pensionhait@hotmail.com,http://www.kennelblanding.dk,,google_maps,"Torpevej 8, 4050 Skuldelev, Danmark",+45 40 54 44 27,serpapi_google_maps
Kennel Darfy,Danmark,Hovedstaden,pernille@s-el.dk,https://kennel-darfy.dk,,google_maps,"Ryttervænget 3, 3520 Farum, Danmark",+45 27 71 05 05,serpapi_google_maps
Kennel Lil' Footsteps,Danmark,Hovedstaden,,https://lilfootsteps.dk,https://www.facebook.com/KennelLilFootsteps,google_maps,"Vildtbaneparken 19B, 2635 Ishøj, Danmark",+45 23 41 50 30,serpapi_google_maps
