namn,friendly_name,stad,lan,email,hemsida,facebook,kalla,skickat,datum,tid
Hundebørnehaven,Hundebørnehaven,Danmark,Hovedstaden,kontakt@logrende-haler.dk,http://www.logrende-haler.dk,https://www.facebook.com/hundehavenlogrendehaler,google_maps,,,
Noah & Najas Hundepension,Noah & Najas,Danmark,Hovedstaden,staldgrangaarden@gmail.com,http://www.grangaardenhh.dk,,google_maps,,,
Mila Hundepension Taastrup,Mila Taastrup,Danmark,Hovedstaden,aksel.albrektsen@gmail.com,https://mila-hundepension.dk,,google_maps,,,
"Hellerup Dog Walk (Hundebørnehave, hundepasning og hundeluftning)","Hellerup Dog Walk (Hundebørnehave, og hundeluftning)",Danmark,Hovedstaden,hellerupdogwalk@gmail.com,http://www.hellerupdogwalk.dk,https://www.facebook.com/hellerupdogwalk,google_maps,,,
Måløv Hundepension,Måløv,Danmark,Hovedstaden,,https://www.hundepension.dk,https://www.facebook.com/hundepensiondk,google_maps,,,
Vejlegaarden hundepension,Vejlegaarden,Danmark,Hovedstaden,info@vejlegaarden.dk,http://www.vejlegaarden.dk,https://www.facebook.com/ThemeFusion-101565403356430,google_maps,,,
Vi passer hund,Vi passer hund,Danmark,Hovedstaden,,http://www.vipasserhund.dk,https://www.facebook.com/vipasserhund,google_maps,,,
Sengeløse - hunde- & kattepension,Sengeløse - hunde- & kattepension,Danmark,Hovedstaden,,http://www.xn--sengelsepension-bub.dk,,google_maps,,,
Hekshore’s Doggy Daycare,Hekshore's Doggy Daycare,Danmark,Hovedstaden,,,,google_maps,,,
Birkemose Dog and Cattery,Birkemose Dog and Cattery,Danmark,Hovedstaden,lisbet@birkemose.dk,http://www.birkemose.dk,,google_maps,,,
Nanner's Hundecenter,Nanner's Hundecenter,Danmark,Hovedstaden,service@opendi.com,https://www.opendi.dk/lynge/356220.html,,google_maps,,,
Brokjærgaard hunde og katte pension,Brokjærgaard hunde og katte pension,Danmark,Hovedstaden,lisbet@sennettas.dk,http://www.brokjaergaard.dk,,google_maps,,,
Hestehavehus Hunde- og Kattepension,Hestehavehus Hunde- og Kattepension,Danmark,Hovedstaden,booking@hestehavehus.dk,http://hestehavehus.dk,,google_maps,,,
Vandrigsgaard Hundehotel,Vandrigsgaard Hundehotel,Danmark,Hovedstaden,vandrigsgaard@gmail.com,https://www.luksus-hundehotel.dk,https://www.facebook.com/vandrigsgaardhundehotel,google_maps,,,
Gudog (tidl. Dogley) - Find privat hundepasning,Gudog (tidl. Dogley) - Find privat,Danmark,Hovedstaden,,https://gudog.dk,https://www.facebook.com/RoverDotCom,google_maps,,,
Hundehaven Potefryd,Hundehaven Potefryd,Danmark,Midtjylland,info@hundehavenpotefryd.dk,https://hundehavenpotefryd.dk,https://www.facebook.com/hundehavenpotefryd,google_maps,,,
Holmens Hunde- & Kattepension,Holmens Hunde- & Kattepension,Danmark,Syddanmark,gittehansen15@yahoo.dk,http://www.holmenspension.dk,https://www.facebook.com/HolmensPension,google_maps,,,
Bladstrup Hundepension Fyn,Bladstrup Fyn,Danmark,Syddanmark,kundeservice@alt-til-hunden.dk,http://www.hundepension-odense.dk,,google_maps,,,
Langesø Hundepension,Langesø,Danmark,Syddanmark,info@langesoe-hundepension.dk,http://langesoe-hundepension.dk,,google_maps,,,
Lille Dyred Hundepension v/Kikki Nielsen,Lille Dyred v/Kikki Nielsen,Danmark,Syddanmark,kikki@lilledyred.dk,http://www.lilledyred.dk,,google_maps,,,
Bækkelund Hundepension,Bækkelund,Danmark,Syddanmark,kontakt@baekkelundhundepension.dk,https://www.baekkelundhundepension.dk,https://www.facebook.com/baekkelundhundepension,google_maps,,,
Lindkvist Hundepension,Lindkvist,Danmark,Syddanmark,a.l.madsen@privat.dk,http://lindkvist-hundepension.dk,https://www.facebook.com/people/Lindkvist-Hundepension/100054237321200,google_maps,,,
Aalborg Hundehotel,Aalborg Hundehotel,Danmark,Nordjylland,,http://www.aalborghundehotel.dk,,google_maps,,,
WUUF Hundecenter,WUUF Hundecenter,Danmark,Nordjylland,info@wuuf.dk,http://www.wuuf.dk,https://www.facebook.com/WUUFhundecenter,google_maps,,,
Vaarst Hundehotel,Vaarst Hundehotel,Danmark,Nordjylland,,http://www.vaarst-hundehotel.dk,https://www.facebook.com/Vaarst-Hundehotel-291975525049,google_maps,,,
Hundetræning Vuf i balance,Hundetræning Vuf i balance,Danmark,Nordjylland,,,,google_maps,,,
Solhøj Hundehotel,Solhøj Hundehotel,Danmark,Nordjylland,solhojhundehotel@gmail.com,https://www.solhojhundehotel.dk,https://www.facebook.com/profile.php,google_maps,,,
Guldlund Hundecenter v/ Zenia Felicia Holm,Guldlund Hundecenter v/ Zenia Felicia Holm,Danmark,Nordjylland,booking@guldlundhundecenter.dk,https://guldlundhundecenter.dk,https://www.facebook.com/GuldlundHundecenter,google_maps,,,
Randers Hundepension,Randers,Danmark,Midtjylland,randershundepension@gmail.com,http://www.randershundepension.dk,,google_maps,,,
Hundepension Perlen,Hundepension Perlen,Danmark,Midtjylland,gittehaslev@webspeed.dk,http://www.hundepensionperlen.dk,,google_maps,,,
Flintbjerg Hundepension,Flintbjerg,Danmark,Midtjylland,mail@flintbjerg.dk,http://www.flintbjerg-hundepension.dk,https://www.facebook.com/flintbjerg.dk,google_maps,,,
Hundehuset i Hadsten,Hundehuset i Hadsten,Danmark,Midtjylland,mail@hundehusetihadsten.dk,http://www.hundehusetihadsten.dk,https://www.facebook.com/HundehusetIHadsten,google_maps,,,
Hundeinternat,Hundeinternat,Danmark,Midtjylland,,,,google_maps,,,
Borgmosegaard Hundepension v/Lars Borg,Borgmosegaard v/Lars Borg,Danmark,Midtjylland,lars@borgmosegaard.dk,http://borgmosegaard.dk,,google_maps,,,
Hvalpetræning i Børnehøjde Hundepension,Hvalpetræning i Børnehøjde,Danmark,Midtjylland,,http://www.hvalpesjov.dk,,google_maps,,,
Handest Hundepension,Handest,Danmark,Midtjylland,,,,google_maps,,,
Hadsund hundepension,Hadsund,Danmark,Midtjylland,,http://www.hadsund-hundepension.dk,,google_maps,,,
Nygaard Hundepension Røgen,Nygaard Røgen,Danmark,Midtjylland,jonna@nygaardhundepension.dk,http://www.nygaardhundepension.dk,https://www.facebook.com/nygaardhundepension,google_maps,,,
Feldballe Hundepension,Feldballe,Danmark,Midtjylland,jpaja@feldballehundepension.dk,http://www.feldballehundepension.dk,https://www.facebook.com/pg/Feldballe-Hundepension-318022118255006/reviews,google_maps,,,
