namn,stad,lan,email,hemsida,facebook,kalla,raw_address,phone,raw_source
Hundebørnehaven,Danmark,Hovedstaden,kontakt@logrende-haler.dk,http://www.logrende-haler.dk,https://www.facebook.com/hundehavenlogrendehaler,google_maps,"Gyngemose Parkvej 44, st.tv, 2860 Søborg, Danmark",+45 26 20 22 02,serpapi_google_maps
Noah & Najas Hundepension,Danmark,Hovedstaden,staldgrangaarden@gmail.com,http://www.grangaardenhh.dk,,google_maps,"Ndr Dragørvej 12, 2791 Dragør, Danmark",+45 53 52 11 09,serpapi_google_maps
Mila Hundepension Taastrup,Danmark,Hovedstaden,aksel.albrektsen@gmail.com,https://mila-hundepension.dk,,google_maps,"Spangåvej 24, 2630 Taastrup, Danmark",+45 51 91 09 00,serpapi_google_maps
"Hellerup Dog Walk (Hundebørnehave, hundepasning og hundeluftning)",Danmark,Hovedstaden,hellerupdogwalk@gmail.com,http://www.hellerupdogwalk.dk,https://www.facebook.com/hellerupdogwalk,google_maps,"Granhøjen 1, 2900 Hellerup, Danmark",+45 28 59 32 19,serpapi_google_maps
Måløv Hundepension,Danmark,Hovedstaden,,https://www.hundepension.dk,https://www.facebook.com/hundepensiondk,google_maps,"Kalveholmvej 6, 3660 Stenløse, Danmark",+45 20 29 13 55,serpapi_google_maps
Vejlegaarden hundepension,Danmark,Hovedstaden,info@vejlegaarden.dk,http://www.vejlegaarden.dk,https://www.facebook.com/ThemeFusion-101565403356430,google_maps,"Jungshøjvej 18, 2760 Måløv, Danmark",+45 44 97 59 14,serpapi_google_maps
Vi passer hund,Danmark,Hovedstaden,,http://www.vipasserhund.dk,https://www.facebook.com/vipasserhund,google_maps,"Gammel Bregnerødvej 12B, 3520 Farum, Danmark",+45 23 33 00 22,serpapi_google_maps
Sengeløse - hunde- & kattepension,Danmark,Hovedstaden,,http://www.xn--sengelsepension-bub.dk,,google_maps,"Frederiksholmsvej 5A, 2630 Taastrup, Danmark",+45 42 79 94 12,serpapi_google_maps
Hekshore’s Doggy Daycare,Danmark,Hovedstaden,,,,google_maps,"Borgmester Fischers Vej 5, 2000 Frederiksberg, Danmark",,serpapi_google_maps
Birkemose Dog and Cattery,Danmark,Hovedstaden,lisbet@birkemose.dk,http://www.birkemose.dk,,google_maps,"Harreshøjvej 24, 3080 Tikøb, Danmark",+45 23 46 86 40,serpapi_google_maps
Nanner's Hundecenter,Danmark,Hovedstaden,service@opendi.com,https://www.opendi.dk/lynge/356220.html,,google_maps,"Kollerødvej 69, 3540 Lynge, Danmark",+45 40 14 35 42,serpapi_google_maps
Brokjærgaard hunde og katte pension,Danmark,Hovedstaden,lisbet@sennettas.dk,http://www.brokjaergaard.dk,,google_maps,"Højsagervej 52, 3480 Fredensborg, Danmark",+45 49 16 01 68,serpapi_google_maps
Hestehavehus Hunde- og Kattepension,Danmark,Hovedstaden,booking@hestehavehus.dk,http://hestehavehus.dk,,google_maps,"Roskildevej 205, 3330 Gørløse, Danmark",+45 29 40 77 20,serpapi_google_maps
Vandrigsgaard Hundehotel,Danmark,Hovedstaden,vandrigsgaard@gmail.com,https://www.luksus-hundehotel.dk,https://www.facebook.com/vandrigsgaardhundehotel,google_maps,"Vandrigsvej 17, 4660 Store Heddinge, Danmark",+45 29 93 70 00,serpapi_google_maps
Gudog (tidl. Dogley) - Find privat hundepasning,Danmark,Hovedstaden,,https://gudog.dk,https://www.facebook.com/RoverDotCom,google_maps,"Fruebjergvej 3, 2100 København, Danmark",,serpapi_google_maps
Hundehaven Potefryd,Danmark,Midtjylland,info@hundehavenpotefryd.dk,https://hundehavenpotefryd.dk,https://www.facebook.com/hundehavenpotefryd,google_maps,"Edwin Rahrs Vej 78, 8220 Brabrand, Danmark",+45 50 51 66 68,serpapi_google_maps
Holmens Hunde- & Kattepension,Danmark,Syddanmark,gittehansen15@yahoo.dk,http://www.holmenspension.dk,https://www.facebook.com/HolmensPension,google_maps,"Staupudevej 24, 5240 Odense, Danmark",+45 66 10 40 20,serpapi_google_maps
Bladstrup Hundepension Fyn,Danmark,Syddanmark,kundeservice@alt-til-hunden.dk,http://www.hundepension-odense.dk,,google_maps,"Glavendrupvej 15, 5450 Otterup, Danmark",+45 24 81 50 58,serpapi_google_maps
Langesø Hundepension,Danmark,Syddanmark,info@langesoe-hundepension.dk,http://langesoe-hundepension.dk,,google_maps,"Søndersøvej 159, 5462 Morud, Danmark",+45 25 88 47 57,serpapi_google_maps
Lille Dyred Hundepension v/Kikki Nielsen,Danmark,Syddanmark,kikki@lilledyred.dk,http://www.lilledyred.dk,,google_maps,"Tommerupvej 60, 5492 Vissenbjerg, Danmark",+45 23 43 30 37,serpapi_google_maps
Bækkelund Hundepension,Danmark,Syddanmark,kontakt@baekkelundhundepension.dk,https://www.baekkelundhundepension.dk,https://www.facebook.com/baekkelundhundepension,google_maps,"Tårup Vestergyde 37, 5370 Mesinge, Danmark",+45 21 65 53 46,serpapi_google_maps
Lindkvist Hundepension,Danmark,Syddanmark,a.l.madsen@privat.dk,http://lindkvist-hundepension.dk,https://www.facebook.com/people/Lindkvist-Hundepension/100054237321200,google_maps,"Lumbyvej 13, 5792 Årslev, Danmark",,serpapi_google_maps
Aalborg Hundehotel,Danmark,Nordjylland,,http://www.aalborghundehotel.dk,,google_maps,"Kærvedgårdvej 5, 9200 Aalborg SV, Danmark",+45 25 74 92 00,serpapi_google_maps
WUUF Hundecenter,Danmark,Nordjylland,info@wuuf.dk,http://www.wuuf.dk,https://www.facebook.com/WUUFhundecenter,google_maps,"Gammel Høvej 58, 9400 Nørresundby, Danmark",+45 60 58 30 70,serpapi_google_maps
Vaarst Hundehotel,Danmark,Nordjylland,,http://www.vaarst-hundehotel.dk,https://www.facebook.com/Vaarst-Hundehotel-291975525049,google_maps,"Vårstvej 273, 9260 Gistrup, Danmark",+45 40 75 24 43,serpapi_google_maps
Hundetræning Vuf i balance,Danmark,Nordjylland,,,,google_maps,"Blåkildevej 55, 9220 Aalborg, Danmark",,serpapi_google_maps
Solhøj Hundehotel,Danmark,Nordjylland,solhojhundehotel@gmail.com,https://www.solhojhundehotel.dk,https://www.facebook.com/profile.php,google_maps,"Tiendemarken 17, 9280 Storvorde, Danmark",,serpapi_google_maps
Guldlund Hundecenter v/ Zenia Felicia Holm,Danmark,Nordjylland,booking@guldlundhundecenter.dk,https://guldlundhundecenter.dk,https://www.facebook.com/GuldlundHundecenter,google_maps,"Thisted Landevej 153, 9430 Vadum, Danmark",+45 28 70 17 61,serpapi_google_maps
Randers Hundepension,Danmark,Midtjylland,randershundepension@gmail.com,http://www.randershundepension.dk,,google_maps,"Mastruphøjvej 36, 8920 Randers, Danmark",+45 30 30 56 01,serpapi_google_maps
Hundepension Perlen,Danmark,Midtjylland,gittehaslev@webspeed.dk,http://www.hundepensionperlen.dk,,google_maps,"Tingvej 2, 8930 Randers NØ, Danmark",+45 51 40 85 60,serpapi_google_maps
Flintbjerg Hundepension,Danmark,Midtjylland,mail@flintbjerg.dk,http://www.flintbjerg-hundepension.dk,https://www.facebook.com/flintbjerg.dk,google_maps,"Tjele Skovvej 2, 8830 Tjele, Danmark",+45 20 72 73 78,serpapi_google_maps
Hundehuset i Hadsten,Danmark,Midtjylland,mail@hundehusetihadsten.dk,http://www.hundehusetihadsten.dk,https://www.facebook.com/HundehusetIHadsten,google_maps,"Langskovvej 37, 8370 Hadsten, Danmark",+45 20 60 33 83,serpapi_google_maps
Hundeinternat,Danmark,Midtjylland,,,,google_maps,"Damager 1, 8920 Randers, Danmark",,serpapi_google_maps
Borgmosegaard Hundepension v/Lars Borg,Danmark,Midtjylland,lars@borgmosegaard.dk,http://borgmosegaard.dk,,google_maps,"Tjerrildvej 21, 8550 Ryomgård, Danmark",+45 40 20 60 50,serpapi_google_maps
Hvalpetræning i Børnehøjde Hundepension,Danmark,Midtjylland,,http://www.hvalpesjov.dk,,google_maps,"Floes-Engbakkevej 9, 8960 Randers, Danmark",+45 20 42 94 54,serpapi_google_maps
Handest Hundepension,Danmark,Midtjylland,,,,google_maps,"Møgelhøjvej 3, 8990 Fårup, Danmark",+45 86 45 24 32,serpapi_google_maps
Hadsund hundepension,Danmark,Midtjylland,,http://www.hadsund-hundepension.dk,,google_maps,"Hobrovej 26, 9560 Hadsund, Danmark",+45 40 86 12 20,serpapi_google_maps
Nygaard Hundepension Røgen,Danmark,Midtjylland,jonna@nygaardhundepension.dk,http://www.nygaardhundepension.dk,https://www.facebook.com/nygaardhundepension,google_maps,"Vestergårdsvej 60, 8472 Sporup, Danmark",+45 26 36 80 38,serpapi_google_maps
Feldballe Hundepension,Danmark,Midtjylland,jpaja@feldballehundepension.dk,http://www.feldballehundepension.dk,https://www.facebook.com/pg/Feldballe-Hundepension-318022118255006/reviews,google_maps,"Ebeltoftvej 64, 8410 Rønde, Danmark",+45 28 29 19 49,serpapi_google_maps
Kringelgårdens Dyrepension - Hundepension,Danmark,Midtjylland,kringelgaarden@gmail.com,http://www.xn--kringelgrden-0cb.dk,https://www.facebook.com/Kringelg%C3%A5rdens-Dyrepension-hundepension-175193189162920,google_maps,"Kringelen 1, 8560 Kolind, Danmark",+45 91 55 80 34,serpapi_google_maps
Hundesvømning,Danmark,Midtjylland,,http://www.sheiksgaard.dk/hundesvoemning.aspx,,google_maps,"Trehøjevej 3, 8930 Randers, Danmark",,serpapi_google_maps
Hundecenteret,Danmark,Midtjylland,kontakt@hundecenteret.dk,http://hundecenteret.dk,https://www.facebook.com/profile.php,google_maps,"Skolevangsvej 105, 8450 Hammel, Danmark",+45 44 14 24 44,serpapi_google_maps
Wickies Hundepension,Danmark,Syddanmark,wickie.mejdahl@gmail.com,http://www.mejdahl.dk,,google_maps,"Berntsensvej 25, 6715 Esbjerg, Danmark",+45 31 34 46 40,serpapi_google_maps
Din-HundeSitter,Danmark,Syddanmark,lista@live.dk,http://www.din-hundesitter.dk,https://facebook.com/Din-HundeSitter,google_maps,"Cort Adelers Gade 6, 6700 Esbjerg, Danmark",+45 28 56 27 25,serpapi_google_maps
Løvmosens Hundepension,Danmark,Syddanmark,hbs_forum@hotmail.com,https://www.loevmosen.dk,https://www.facebook.com/loevmosen.dk,google_maps,"Nørre Forumvej 20, 6715 Esbjerg, Danmark",+45 24 24 04 89,serpapi_google_maps
Randsfjordens hundelogi,Danmark,Syddanmark,kristensenpe@gmail.com,http://www.hundelogi.dk,,google_maps,"Nebbegårdsvej 127, 7000 Fredericia, Danmark",+45 24 41 66 87,serpapi_google_maps
Lykkegårdens hunde- og kattepension,Danmark,Syddanmark,hundepensionen@lykkegaarden.net,http://lykkegaarden.net,,google_maps,"Abelonelundvej 50, 5500 Middelfart, Danmark",+45 64 40 26 36,serpapi_google_maps
Naturedogs,Danmark,Syddanmark,mail@naturedogs.dk,https://naturedogs.dk/nyheder-news,https://www.facebook.com/naturedogs,google_maps,"Vestre Ringvej 101, 7000 Fredericia, Danmark",+45 61 20 00 23,serpapi_google_maps
Elbjerglund's Hundepension,Danmark,Midtjylland,info@elbjerglund.dk,http://www.elbjerglund.dk,,google_maps,"Elbjergvej 21, 8732 Hovedgård, Danmark",+45 61 28 22 00,serpapi_google_maps
Happy Dog Øst,Danmark,Midtjylland,br@thyregod.be,http://www.thyregod.be,,google_maps,"Grumstrupvej 9, 8732 Hovedgård, Danmark",+45 40 85 58 39,serpapi_google_maps
Splidholm Hundepension,Danmark,Midtjylland,info@splidholm-hundepension.dk,http://www.splidholm-hundepension.dk,https://www.facebook.com/Splidholm-Hundepension-274344072597000,google_maps,"Splidholmvej 10, 8300 Odder, Danmark",+45 50 90 19 52,serpapi_google_maps
Hundefrisøren,Danmark,Midtjylland,,,,google_maps,"Havnealle 9, 8700 Horsens, Danmark",+45 75 62 16 31,serpapi_google_maps
Nalas hunde-hotel,Danmark,Midtjylland,nalas@hunde-hotel.dk,http://www.hunde-hotel.dk,,google_maps,"Vamdrupvej 32A, 6580 Vamdrup, Danmark",+45 42 80 37 00,serpapi_google_maps
Sweetdogs Hundepension,Danmark,Midtjylland,,http://sweetdogs.dk,,google_maps,"Saksmosevej 17, 7300 Jelling, Danmark",+45 50 87 09 11,serpapi_google_maps
Hundepension Vejle,Danmark,Syddanmark,bonielsen1309@gmail.com,http://www.hundepension-vejle.dk,,google_maps,"Ulkærvej 33, 7100 Vejle, Danmark",+45 20 78 66 60,serpapi_google_maps
Lykkelig Hund,Danmark,Hovedstaden,kontakt@lykkelighund.dk,http://lykkelighund.dk,,google_maps,"Stasevangsvej 2, 2970 Hørsholm, Danmark",+45 30 44 72 44,serpapi_google_maps
Mini Hundepasning,Danmark,Hovedstaden,info@minihundepasning.dk,https://www.minihundepasning.dk,,google_maps,"Rungstedvej 47, 2960 Rungsted Kyst, Danmark",,serpapi_google_maps
Vig-Hundepasning v/Pia Kellmann Hansen,Danmark,Hovedstaden,vighundepasningdk@gmail.com,http://www.vig-hundepasning.dk,,google_maps,"Ll Egebjergvej 1A, 4560 Vig, Danmark",+45 24 93 51 12,serpapi_google_maps
Lille Hunde Ferie,Danmark,Hovedstaden,info@lillehundeferie.dk,http://www.lillehundeferie.dk/priser,,google_maps,"Søndre Byvej 21C, 2680 Solrød Strand, Danmark",+45 53 37 92 52,serpapi_google_maps
Ulvelys hundehotel,Danmark,Hovedstaden,,,,google_maps,"Søgårdsvej 1, 4500 Nykøbing Sjælland, Danmark",+45 38 15 93 72,serpapi_google_maps
Lille Aagaard Hunde og Kattepension,Danmark,Hovedstaden,pension@ll-aagaard.dk,http://www.ll-aagaard.dk,,google_maps,"Krogvej 30, 3320 Skævinge, Danmark",+45 20 23 80 85,serpapi_google_maps
Pimpernels Hundetræning Og Pension,Danmark,Hovedstaden,info@pimpernels.dk,http://www.pimpernels.dk,,google_maps,"Regnholmvej 1, 3320 Skævinge, Danmark",+45 48 21 25 21,serpapi_google_maps
Midtsjællands Hundepension,Danmark,Hovedstaden,hundepension@mail.dk,http://www.xn--midtsjllandshundepension-bdc.dk,https://www.facebook.com/midtsjaellandshundepension,google_maps,"Suså Landevej 120, 4171 Glumsø, Danmark",+45 40 36 48 90,serpapi_google_maps
Nordsjællands Hundepension,Danmark,Hovedstaden,nordhund@mail.dk,https://www.nordsjaellandshundepension.dk,,google_maps,"Frederiksværkvej 56, 3200 Helsinge, Danmark",+45 48 79 63 62,serpapi_google_maps
Skovlygård dog & cat pension,Danmark,Hovedstaden,,http://www.skovlygaard-dyrehotel.dk,,google_maps,"Ryttermosevej 51, 3230 Græsted, Danmark",+45 40 30 87 59,serpapi_google_maps
TOPDOG v / Lisa Hansen,Danmark,Hovedstaden,,,,google_maps,"Nybrovej 264, 2800 Kongens Lyngby, Danmark",+45 23 30 10 74,serpapi_google_maps
Stevns Hundehotel,Danmark,Hovedstaden,,https://www.krak.dk/krak/66475099/firma,,google_maps,"Råhovedvej 20, 4672 Klippinge, Danmark",+45 20 24 83 93,serpapi_google_maps
Hjortemosegaards Hundesvøm og Pension - Hundesvømmehal,Danmark,Hovedstaden,hjortemosegaard@outlook.dk,http://www.hjortemosegaards.dk,https://www.facebook.com/Hjortemosegaards-hundesv%C3%B8m-Pension-1554672541443469,google_maps,"Skælskørvej 136, 4261 Dalmose, Danmark",+45 60 40 76 31,serpapi_google_maps
Raarisegaard Hundepension,Danmark,Hovedstaden,,http://www.raarisegaard.dk,,google_maps,"Vordingborgvej 175, 4682 Tureby, Danmark",+45 56 28 20 39,serpapi_google_maps
Stevns Klint Hundepension,Danmark,Hovedstaden,,,,google_maps,"Hærvejen 34, 4660 Store Heddinge, Danmark",+45 21 66 87 42,serpapi_google_maps
Vestegnens Hundesalon,Danmark,Hovedstaden,,http://www.vestegnenshundesalon.dk,,google_maps,"Tjørnehusene 5, 2600 Glostrup, Danmark",+45 43 99 43 77,serpapi_google_maps
Hundepensionen DerKan v/Dorte Andersen,Danmark,Hovedstaden,,https://hundepensionen-derkan.dk,https://www.facebook.com/hundepensionenderkan,google_maps,"Ladagervej 11, 4623 Lille Skensved, Danmark",+45 26 20 89 27,serpapi_google_maps
Slangerup Hundepension,Danmark,Hovedstaden,post@slangerup-hundepension.dk,http://www.slangerup-hundepension.dk,,google_maps,"Ørnholmvej 4, 3550 Slangerup, Danmark",+45 47 33 41 42,serpapi_google_maps
Hundehyggehuset,Danmark,Hovedstaden,,https://hundehyggehuset.dk,,google_maps,"Guldbergsgade 103, 2200 København, Danmark",,serpapi_google_maps
Professionel hundelufter,Danmark,Hovedstaden,,,,google_maps,"Rådmand Steins Alle, 2000 Frederiksberg, Danmark",+45 22 99 08 89,serpapi_google_maps
Your Dog Baby,Danmark,Hovedstaden,,,,google_maps,"C. F. Richs Vej 103, 2000 Frederiksberg, Danmark",+45 53 57 57 70,serpapi_google_maps
heydog,Frederiksberg,Hovedstaden,heydog.dk@gmail.com,http://www.heydog.dk,,google_maps,,+45 21 23 22 52,serpapi_google_maps
Hundeservice v/Christel T Hansen,Danmark,Hovedstaden,,,,google_maps,"Ved Grænsen 72, 2000 Frederiksberg, Danmark",,serpapi_google_maps
Dog and cat pension Tureby,Danmark,Hovedstaden,info@hundeogkatteimperiet.dk,https://hundepension-tureby.dk,https://www.facebook.com/hundeogkatteimperiet,google_maps,"Østerskovvej 22, 4682 Tureby, Danmark",+45 40 40 24 93,serpapi_google_maps
Terslev hundepension,Danmark,Hovedstaden,terslev.hundepension@gmail.com,https://terslev-hundepension.dk,https://www.facebook.com/Terslev-Hunde-Kattepension-108844989204014,google_maps,"Terslev Skolevej 15, 4690 Haslev, Danmark",+45 51 51 84 60,serpapi_google_maps
De små hundes hotel,Danmark,Hovedstaden,,,,google_maps,"Tjærebyvej 25, 3400 Hillerød, Danmark",+45 20 78 19 55,serpapi_google_maps
Viborg Hundehotel,Danmark,Midtjylland,,http://www.viborghundehotel.dk,,google_maps,"Holstebrovej 115, 8800 Viborg, Danmark",+45 20 70 94 67,serpapi_google_maps
Hundehotel,Danmark,Midtjylland,,,,google_maps,"Dybdalsvej 19, 7850 Viborg, Danmark",,serpapi_google_maps
Den Lille hundepension Viborg,Danmark,Midtjylland,,,,google_maps,"Bystævnet 11, 8830 Tjele, Danmark",+45 24 84 53 54,serpapi_google_maps
Kjellerup Hundepension,Danmark,Midtjylland,kjelleruphundpension@mail.dk,http://www.kjelleruphundepension.dk,,google_maps,"Nørrevangsvej 26, 8620 Kjellerup, Danmark",+45 40 23 46 99,serpapi_google_maps
Kolding Hundecenter,Danmark,Syddanmark,koldinghundecenter@gmail.com,http://www.koldinghundecenter.dk,https://www.facebook.com/profile.php,google_maps,"Skovæblevej 4, 6000 Kolding, Danmark",+45 41 68 06 22,serpapi_google_maps
CF-Hundehotel,Danmark,Syddanmark,info@cfhundehotel.dk,https://www.cfhundehotel.dk/kontakt.aspx,,google_maps,"Hoppeshuse 21, 6000 Kolding, Danmark",+45 22 88 14 02,serpapi_google_maps
Doxx Hundecenter,Danmark,Syddanmark,info@doxx.dk,http://www.doxx.dk,,google_maps,"Uhre Skovvej 6, 6064 Jordrup, Danmark",+45 75 55 61 45,serpapi_google_maps
Rodselle Hunderesort I/S,Danmark,Syddanmark,rodselle.hundepension@gmail.com,http://rodselle.dk,https://facebook.com/RodselleHunderesort,google_maps,"Rodsellevej 10, 6070 Christiansfeld, Danmark",+45 42 22 67 69,serpapi_google_maps
Ærtebjerg Hundepension v/Ditte Stevne Kristensen,Danmark,Syddanmark,aertebjerghundepension@gmail.com,http://www.aertebjerghundepension.dk,https://www.facebook.com/Aertebjerghundepension,google_maps,"Boelsmosevej 8, 5883 Oure, Danmark",+45 61 76 88 72,serpapi_google_maps
Sydfyns Hundepension,Danmark,Syddanmark,,http://www.sydfynshundepension.dk,,google_maps,"Nørremarksvej 70, 5762 Vester Skerninge, Danmark",+45 20 82 90 41,serpapi_google_maps
Langelands Hundepension,Danmark,Syddanmark,nina.elian@gmail.com,http://www.langelandshundepension.dk,,google_maps,"Nordre Løkkebyvej 7, 5953 Tranekær, Danmark",+45 61 27 25 41,serpapi_google_maps
Mindful Dog,Danmark,Syddanmark,,,,google_maps,"Søren Lolks Vej 5, 5700 Svendborg, Danmark",+45 29 60 55 39,serpapi_google_maps
Troldeskovs Hundesalon,Danmark,Syddanmark,,,,google_maps,"Gammel Skårupvej 162, 5700 Svendborg, Danmark",+45 62 21 05 25,serpapi_google_maps
Farum Hundehus,Danmark,Hovedstaden,info@farumhundehus.dk,https://www.farumhundehus.dk,https://www.facebook.com/farumhundehus,google_maps,"Farum Hovedgade 29c, 3520 Farum, Danmark",+45 44 12 12 75,serpapi_google_maps
hund,Danmark,Hovedstaden,,,,google_maps,"Bellisvej 11, 3450 Lillerød, Danmark",+45 28 34 49 55,serpapi_google_maps
Du og Din HUND,Danmark,Hovedstaden,aino@duogdinhund.dk,http://duogdinhund.dk,https://www.facebook.com/DuogdinHund,google_maps,"Jonstrupvej 271B, 3500 Værløse, Danmark",+45 40 50 10 82,serpapi_google_maps
Susan's Hundesalon,Danmark,Hovedstaden,,http://www.susanshundesalon.dk,,google_maps,"Slettebjergvej 13, 2750 Ballerup, Danmark",+45 29 12 11 59,serpapi_google_maps
FriSørensens Hundesalon,Danmark,Hovedstaden,kontakt@frisoerensenshundesalon.dk,https://www.frisoerensenshundesalon.dk,https://www.facebook.com/p/FriS%C3%B8rensens-Hundesalon-61555383862170,google_maps,"Brydehusvej 11, 2750 Ballerup, Danmark",+45 60 59 65 59,serpapi_google_maps
Roskilde Hundepension,Danmark,Hovedstaden,info@hundeparadis.dk,https://www.hundeparadis.dk,https://www.facebook.com/roskildehundepension,google_maps,"Orehøjvej 30, 4000 Roskilde, Danmark",+45 50 12 69 19,serpapi_google_maps
Storebælt Hundehotel og hundepension,Danmark,Hovedstaden,info@storebaelthundehotel.dk,http://www.storebaelthundehotel.dk,https://www.facebook.com/Storeb%C3%A6lt-Hundehotel-550892548256818,google_maps,"Tingvej 7, 4241 Vemmelev, Danmark",+45 51 26 60 40,serpapi_google_maps
Vallensbæk strand Hundeskov,Danmark,Hovedstaden,,,,google_maps,"2665 Vallensbæk Strand, Danmark",,serpapi_google_maps
ASSERHOLM HUNDE- og KATTEPENSION,Danmark,Hovedstaden,pension@asserholm.dk,http://www.asserholm.dk,,google_maps,"Asserholmvej 1, 3, 4390 Vipperød, Danmark",+45 21 22 44 98,serpapi_google_maps
Divadog,Vallensbæk,Hovedstaden,,https://divadog.mono.net/8806/VELKOMMEN,,google_maps,,,serpapi_google_maps
