namn,friendly_name,stad,lan,email,hemsida,facebook,kalla,skickat,datum,tid
Norsk Kennel Klub,Norsk Klub,Norge,Østland,info@nkk.no,http://www.nkk.no,https://www.facebook.com/NorskKennelKlub,google_maps,,,
Kelly's Kennel,Kelly's,Norge,Østland,kellys@live.no,http://kellyskennel.no,https://www.facebook.com/KellysKennel,google_maps,skickat,2026-03-26,11:19
Kennel Enerhaugen,Kennel Enerhaugen,Norge,Hordaland,christen1948@gmail.com,http://enerhaugen.net,,google_maps,,,
Kennel Lurvelegg - oppdretter,Kennel Lurvelegg - oppdretter,Norge,Hordaland,,http://lurvelegg.net,,google_maps,,,
Alvøen kennel,Alvøen,Norge,Hordaland,,,,google_maps,,,
"Hestsjøvegen 92 , Kennel Izzari",Kennel Izzari,Norge,Trøndelag,,,,google_maps,,,
Kennel Arca Halu,Kennel Arca Halu,Norge,Trøndelag,kennel@arcahalu.com,http://www.arcahalu.com,http://www.facebook.com/pages/Kennel-Arca-Halu/294067347372770,google_maps,,,
kennel Lånabakken,kennel Lånabakken,Norge,Trøndelag,,https://www.facebook.com/profile.php,,google_maps,,,
Kennel Yapyard,Kennel Yapyard,Norge,Trøndelag,post@yapyard.no,http://yapyard.no,,google_maps,,,
Kennel Kiblue,Kennel Kiblue,Norge,Trøndelag,kirstifo@yahoo.no,http://kennelkiblue.com,,google_maps,,,
Midtkiløras kennel,Midtkiløras,Norge,Trøndelag,,http://www.midtkilora.com,,google_maps,,,
Kennel Arbbola's,Kennel Arbbola's,Norge,Trøndelag,thea.arbbolas@gmail.com,https://arbbolas.net,https://www.facebook.com/arbbolas,google_maps,,,
Liaplassen Kennel og Hundehotell,Liaplassen og,Norge,Trøndelag,post@liaplassen.no,https://www.liaplassen.no,https://www.facebook.com/Liaplassen-Kennel-og-Hundehotell-103227149119187,google_maps,,,
Harmonien Kennel,Harmonien,Norge,Rogaland,post@harmonienkennel.no,http://harmonienkennel.no,,google_maps,,,
Kennel Jerntoppen,Kennel Jerntoppen,Norge,Rogaland,,,,google_maps,,,
"Rita Solberg, Kennel Julietta, cockerspaniel","Rita Solberg, Julietta, cockerspaniel",Norge,Rogaland,,https://www.facebook.com/Kennel.Julietta.cockerspaniel,,google_maps,,,
Kennel Hempth,Kennel Hempth,Norge,Rogaland,hempth@frisurf.no,https://www.kennelhempth.com/kontakt,,google_maps,,,
Viking kennel (Revheim hestesenter),Viking (Revheim hestesenter),Norge,Rogaland,,,,google_maps,,,
Kennel Kangelani,Kennel Kangelani,Norge,Rogaland,,,,google_maps,,,
Norsk kennel Klub region Rogaland,Norsk Klub region Rogaland,Norge,Rogaland,webmaster@nkk-rogaland.no,https://www.nkk-rogaland.no,,google_maps,,,
Kennel Afland,Kennel Afland,Norge,Rogaland,,,,google_maps,,,
Hjemmekennel AS,Hjemmekennel,Norge,Rogaland,,,,google_maps,,,
Kennel Mosestien,Kennel Mosestien,Stavanger,Rogaland,kennel.mosestien@gmail.com,https://www.mosestien.com,https://www.facebook.com/wix,google_maps,,,
Skjærgaarden Kennel,Skjærgaarden,Norge,Agder,mosby@online.no,https://www.skjaergaardenkennel.com,https://www.facebook.com/tone.mosby,google_maps,,,
Kennel Snowpug,Kennel Snowpug,Norge,Troms og Finnmark,,,,google_maps,,,
Kennel Heliomar,Kennel Heliomar,Norge,Troms og Finnmark,tone@heliomar.no,https://heliomar.no,,google_maps,,,
Kennel Fughita,Kennel Fughita,Norge,Troms og Finnmark,,https://www.facebook.com/profile.php,,google_maps,,,
Kennel Kvernmolia,Kennel Kvernmolia,Norge,Troms og Finnmark,,http://www.kvernmolia.com/index.html,,google_maps,,,
Kennel Millippi,Kennel Millippi,Norge,Buskerud,kennelmillippi@gmail.com,http://www.kennelmillippi.no,https://www.facebook.com/kennelmillippi,google_maps,,,
Kennel Ravn,Kennel Ravn,Norge,Buskerud,henriette@kennelravn.no,http://www.kennelravn.no,,google_maps,,,
Kennel Taramore,Kennel Taramore,Norge,Buskerud,info@taramore.no,http://www.taramore.no/kontakt-oss.html,,google_maps,,,
Tuwheata's kennel,Tuwheata's,Norge,Buskerud,kennel@tuwheata.com,http://www.tuwheata.com,,google_maps,,,
"Kennel Lille Glede, -oppdrett av Pomeranian","Kennel Lille Glede, -oppdrett av Pomeranian",Norge,Innlandet,,,,google_maps,,,
Knauslia Kennel,Knauslia,Norge,Vestfold og Telemark,,,,google_maps,,,
kennel Icikarma,kennel Icikarma,Norge,Vestfold og Telemark,,,,google_maps,,,
Villa Bjørnebo kennel,Villa Bjørnebo,Norge,Vestfold og Telemark,edel@villa-web.no,http://www.villa-web.no/leo,,google_maps,,,
Kennel Pil Hundehotell,Kennel Pil,Norge,Vestfold og Telemark,irisbelinda@gmail.com,http://kennelpil.no,,google_maps,,,
Kennel Zoothi,Kennel Zoothi,Norge,Vestfold og Telemark,,,,google_maps,,,
Kjerrjillen kennel,Kjerrjillen,Norge,Vestfold og Telemark,,https://facebook.com/Kjerrjillen,,google_maps,,,
Oppdrett av Pomeranian Arctic Delight,Oppdrett av Pomeranian Arctic Delight,Norge,Vestfold og Telemark,arcticdelight@hotmail.com,https://www.arcticdelight.no,https://www.facebook.com/profile.php,google_maps,,,
Kennelbesøk (Kennel Visit by Sjusjøen Husky Tours),Kennelbesøk (Kennel Visit by Sjusjøen Husky Tours),Norge,Innlandet,ida@sjusjoenhuskytours.no,https://huskytours.no,https://www.facebook.com/sjusjoenhuskytours,google_maps,,,
Hommelfjellet Kennel,Hommelfjellet,Norge,Innlandet,,,,google_maps,,,
Ancas Grande kennel,Ancas Grande,Norge,Innlandet,,,,google_maps,,,
Riise kennel og Hundepensjonat,Riise og,Norge,Innlandet,,,,google_maps,,,
Heggbrenna's Kennel,Heggbrenna's,Norge,Innlandet,,https://www.facebook.com/groups/1729689387294425,,google_maps,,,
Kennel Finika,Kennel Finika,Norge,Innlandet,,https://www.facebook.com/pages/Kennel-Finika/390776104291005,,google_maps,,,
