namn,stad,lan,email,hemsida,facebook,kalla,skickat,datum,tid
Norsk Kennel Klub,Norge,Østland,info@nkk.no,http://www.nkk.no,https://www.facebook.com/NorskKennelKlub,google_maps,,,
Kelly's Kennel,Norge,Østland,kellys@live.no,http://kellyskennel.no,https://www.facebook.com/KellysKennel,google_maps,skickat,2026-03-26,11:19
Kennel Enerhaugen,Norge,Hordaland,christen1948@gmail.com,http://enerhaugen.net,,google_maps,,,
Kennel Lurvelegg - oppdretter,Norge,Hordaland,,http://lurvelegg.net,,google_maps,,,
Alvøen kennel,Norge,Hordaland,,,,google_maps,,,
"Hestsjøvegen 92 , Kennel Izzari",Norge,Trøndelag,,,,google_maps,,,
Kennel Arca Halu,Norge,Trøndelag,kennel@arcahalu.com,http://www.arcahalu.com,http://www.facebook.com/pages/Kennel-Arca-Halu/294067347372770,google_maps,,,
kennel Lånabakken,Norge,Trøndelag,,https://www.facebook.com/profile.php,,google_maps,,,
Kennel Yapyard,Norge,Trøndelag,post@yapyard.no,http://yapyard.no,,google_maps,,,
Kennel Kiblue,Norge,Trøndelag,kirstifo@yahoo.no,http://kennelkiblue.com,,google_maps,,,
Midtkiløras kennel,Norge,Trøndelag,,http://www.midtkilora.com,,google_maps,,,
Kennel Arbbola's,Norge,Trøndelag,thea.arbbolas@gmail.com,https://arbbolas.net,https://www.facebook.com/arbbolas,google_maps,,,
Liaplassen Kennel og Hundehotell,Norge,Trøndelag,post@liaplassen.no,https://www.liaplassen.no,https://www.facebook.com/Liaplassen-Kennel-og-Hundehotell-103227149119187,google_maps,,,
Harmonien Kennel,Norge,Rogaland,post@harmonienkennel.no,http://harmonienkennel.no,,google_maps,,,
Kennel Jerntoppen,Norge,Rogaland,,,,google_maps,,,
"Rita Solberg, Kennel Julietta, cockerspaniel",Norge,Rogaland,,https://www.facebook.com/Kennel.Julietta.cockerspaniel,,google_maps,,,
Kennel Hempth,Norge,Rogaland,hempth@frisurf.no,https://www.kennelhempth.com/kontakt,,google_maps,,,
Viking kennel (Revheim hestesenter),Norge,Rogaland,,,,google_maps,,,
Kennel Kangelani,Norge,Rogaland,,,,google_maps,,,
Norsk kennel Klub region Rogaland,Norge,Rogaland,webmaster@nkk-rogaland.no,https://www.nkk-rogaland.no,,google_maps,,,
Kennel Afland,Norge,Rogaland,,,,google_maps,,,
Hjemmekennel AS,Norge,Rogaland,,,,google_maps,,,
Kennel Mosestien,Stavanger,Rogaland,kennel.mosestien@gmail.com,https://www.mosestien.com,https://www.facebook.com/wix,google_maps,,,
Skjærgaarden Kennel,Norge,Agder,mosby@online.no,https://www.skjaergaardenkennel.com,https://www.facebook.com/tone.mosby,google_maps,,,
Kennel Snowpug,Norge,Troms og Finnmark,,,,google_maps,,,
Kennel Heliomar,Norge,Troms og Finnmark,tone@heliomar.no,https://heliomar.no,,google_maps,,,
Kennel Fughita,Norge,Troms og Finnmark,,https://www.facebook.com/profile.php,,google_maps,,,
Kennel Kvernmolia,Norge,Troms og Finnmark,,http://www.kvernmolia.com/index.html,,google_maps,,,
Kennel Millippi,Norge,Buskerud,kennelmillippi@gmail.com,http://www.kennelmillippi.no,https://www.facebook.com/kennelmillippi,google_maps,,,
Kennel Ravn,Norge,Buskerud,henriette@kennelravn.no,http://www.kennelravn.no,,google_maps,,,
Kennel Taramore,Norge,Buskerud,info@taramore.no,http://www.taramore.no/kontakt-oss.html,,google_maps,,,
Tuwheata's kennel,Norge,Buskerud,kennel@tuwheata.com,http://www.tuwheata.com,,google_maps,,,
"Kennel Lille Glede, -oppdrett av Pomeranian",Norge,Innlandet,,,,google_maps,,,
Knauslia Kennel,Norge,Vestfold og Telemark,,,,google_maps,,,
kennel Icikarma,Norge,Vestfold og Telemark,,,,google_maps,,,
Villa Bjørnebo kennel,Norge,Vestfold og Telemark,edel@villa-web.no,http://www.villa-web.no/leo,,google_maps,,,
Kennel Pil Hundehotell,Norge,Vestfold og Telemark,irisbelinda@gmail.com,http://kennelpil.no,,google_maps,,,
Kennel Zoothi,Norge,Vestfold og Telemark,,,,google_maps,,,
Kjerrjillen kennel,Norge,Vestfold og Telemark,,https://facebook.com/Kjerrjillen,,google_maps,,,
Oppdrett av Pomeranian Arctic Delight,Norge,Vestfold og Telemark,arcticdelight@hotmail.com,https://www.arcticdelight.no,https://www.facebook.com/profile.php,google_maps,,,
Kennelbesøk (Kennel Visit by Sjusjøen Husky Tours),Norge,Innlandet,ida@sjusjoenhuskytours.no,https://huskytours.no,https://www.facebook.com/sjusjoenhuskytours,google_maps,,,
Hommelfjellet Kennel,Norge,Innlandet,,,,google_maps,,,
Ancas Grande kennel,Norge,Innlandet,,,,google_maps,,,
Riise kennel og Hundepensjonat,Norge,Innlandet,,,,google_maps,,,
Heggbrenna's Kennel,Norge,Innlandet,,https://www.facebook.com/groups/1729689387294425,,google_maps,,,
Kennel Finika,Norge,Innlandet,,https://www.facebook.com/pages/Kennel-Finika/390776104291005,,google_maps,,,
Hedmarksvidda Kennel Siberian Husky,Lillehammer,Innlandet,kjersti.vogt@hedmarksviddahusky.no,https://hedmarksviddahusky.no,https://facebook.com//siberianhuskytours,google_maps,,,
Kennel Alpelosen,Norge,Innlandet,,,,google_maps,,,
Ingierodden kennel,Norge,Akershus,,,,google_maps,,,
Kennel Stabykroken,Norge,Akershus,kenneth@stabyhuset.com,http://www.stabyhuset.com,https://facebook.com/kenneth.johannesen.9,google_maps,,,
Kennel Bjerkhaug,Norge,Akershus,,http://www.kennelbjerkhaug.net,,google_maps,,,
Kennel Smallville,Norge,Akershus,,http://www.kennel-smallville.com,,google_maps,,,
Kennel Comkitty,Norge,Akershus,reidun.sa@hotmail.com,http://comkitty.net,,google_maps,,,
Miwok Kennel og Malerplassen Stall,Norge,Akershus,miwok.kennel@gmail.com,https://malerplassen.com,https://www.facebook.com/profile.php,google_maps,,,
Kennel Mjøshuldra,Sandvika,Akershus,,,,google_maps,,,
Bærum Kennel AS,Norge,Akershus,post@kennel.no,http://www.kennel.no,,google_maps,,,
Kennel Billebakken,Norge,Akershus,,https://m.facebook.com/KennelBillebakken,,google_maps,,,
Kennel Myra - Australian Cobberdog,Norge,Akershus,,,,google_maps,,,
Kennel Fenomenet,Norge,Innlandet,,,,google_maps,,,
Kennel Sunnyvales,Norge,Innlandet,,,,google_maps,,,
Kennel Mjøshuldra,Norge,Innlandet,,,,google_maps,,,
Kennel Stormflokken,Norge,Vestfold og Telemark,stormflokken@hotmail.com,http://www.stormflokken.no,,google_maps,,,
Galtstrømmens Kennel,Norge,Vestfold og Telemark,,https://galtstrommenskennel.no,,google_maps,,,
