namn,stad,lan,email,hemsida,facebook,kalla,raw_address,phone,raw_source
Norsk Kennel Klub,Norge,Østland,info@nkk.no,http://www.nkk.no,https://www.facebook.com/NorskKennelKlub,google_maps,"Nordåsveien 5, 1251 Oslo, Norge",+47 21 60 09 00,serpapi_google_maps
Kelly's Kennel,Norge,Østland,kellys@live.no,http://kellyskennel.no,https://www.facebook.com/KellysKennel,google_maps,"Bjørgeveien 111, 4748 Rysstad, Norge",+47 98 83 33 64,serpapi_google_maps
Kennel Enerhaugen,Norge,Hordaland,christen1948@gmail.com,http://enerhaugen.net,,google_maps,"Sandviksveien 173, 5035 Bergen, Norge",+47 90 98 12 95,serpapi_google_maps
Kennel Lurvelegg - oppdretter,Norge,Hordaland,,http://lurvelegg.net,,google_maps,"Hardangervegen 24, 5224 Nesttun, Norge",+47 92 83 21 48,serpapi_google_maps
Alvøen kennel,Norge,Hordaland,,,,google_maps,"Kongshavnveien 41, 5179 Godvik, Norge",+47 55 93 52 18,serpapi_google_maps
"Hestsjøvegen 92 , Kennel Izzari",Norge,Trøndelag,,,,google_maps,"Ringvålvegen 274, 7089 Heimdal, Norge",+47 93 43 66 19,serpapi_google_maps
Kennel Arca Halu,Norge,Trøndelag,kennel@arcahalu.com,http://www.arcahalu.com,http://www.facebook.com/pages/Kennel-Arca-Halu/294067347372770,google_maps,"Otto Skirstads veg 11, 7022 Trondheim, Norge",+47 72 55 36 25,serpapi_google_maps
kennel Lånabakken,Norge,Trøndelag,,https://www.facebook.com/profile.php,,google_maps,"Jonsvannsveien 507, 7057 Jonsvatnet, Norge",+47 92 07 08 99,serpapi_google_maps
Kennel Yapyard,Norge,Trøndelag,post@yapyard.no,http://yapyard.no,,google_maps,"Sunnlandsskrenten 40 B, 7032 Trondheim, Norge",+47 92 85 74 12,serpapi_google_maps
Kennel Kiblue,Norge,Trøndelag,kirstifo@yahoo.no,http://kennelkiblue.com,,google_maps,"Veisletten alle, 7030 Trondheim, Norge",+47 97 95 46 45,serpapi_google_maps
Midtkiløras kennel,Norge,Trøndelag,,http://www.midtkilora.com,,google_maps,"Mellomriksvegen 1852, 7520 Hegra, Norge",+47 98 07 29 98,serpapi_google_maps
