namn,stad,lan,email,hemsida,facebook,kalla
Skaugom hundesenter Stian Stende,Norge,Innlandet,post@skaugom.no,http://www.skaugom.no,https://www.facebook.com/skaugomhundesenter,google_maps
Gjøvik hundebarnehage,Norge,Innlandet,post@gjovikhundebarnehage.no,http://www.gjovikhundebarnehage.no,https://www.facebook.com/gjovikhundebarnehage,google_maps
Nosework Gjøvik – Inga Lilja Standerholen Hundeinstruktør,Norge,Innlandet,info@noseworkgjovik.no,http://noseworkgjovik.no,https://www.facebook.com/noseworkgjovik,google_maps
Midtbugaard Hundepensjonat,Norge,Innlandet,midtbugaard225@gmail.com,http://midtbugaard.com,,google_maps
Stenberg Hundesenter,Norge,Innlandet,,http://stenberghundesenter.no,http://www.facebook.com/stenberghundesenter,google_maps
Gårdsbackens Hundcenter,Örnsköldsvik,Innlandet,gardsbacken@telia.com,http://gardsbacken.se,https://www.facebook.com/Gardsbacken,google_maps
Nordvang Hundepensjonat,Norge,Innlandet,info@nordvang-hundepensjonat.no,http://www.nordvang-hundepensjonat.no,https://www.facebook.com/Nordvang.Hundepensjonat,google_maps
"Hundelodgen, Vangsåsen",Norge,Innlandet,,http://hundelodgen.no,,google_maps
Lunner Katte- og Hundepensjonat AS,Norge,Innlandet,bo*****@**************nd.no,http://lunnerkattoghund.no,,google_maps
Labben Hundepensjonat,Norge,Vestfold og Telemark,birgitte@hundepasser.no,http://hundepasser.no,https://www.facebook.com/labben.hundehotell/reviews,google_maps
Solvik Dog Farm,Norge,Vestfold og Telemark,,http://xn--solvikhundegrd-wib.no,,google_maps
Skien Hundelufting,Norge,Vestfold og Telemark,roger@skienhundelufting.no,http://www.skienhundelufting.no,,google_maps
Gode Hundedager hundelufting og hundepass i Ski,Norge,Vestfold og Telemark,,https://godehundedager.wordpress.com,,google_maps
VennenSin Hundelufting & Hundepass | Oslo og Bærum,Norge,Vestfold og Telemark,,https://www.hundeluftingoslo.no,https://www.facebook.com/oslohundepass,google_maps
The DogFather Skien,Norge,Vestfold og Telemark,,https://thedogfather.no,,google_maps
Paw Paradise - Hundehotell & Kattehotell,Norge,Vestfold og Telemark,contact@mysite.com,http://www.pawparadise.no,,google_maps
Dog care - take care of dog in its home,Norge,Vestfold og Telemark,,https://www.facebook.com/Hundepass-pass-av-hund-i-hjemmet-alternativ-til-kennelpensjonat-164015657004854,,google_maps
Ellefsen Hundehotell AS,Norge,Vestfold og Telemark,martine@ellefsenhundehotell.no,https://ellefsenhundehotell.no,https://www.facebook.com/profile.php,google_maps
Hvitsten Hundepass,Norge,Vestfold og Telemark,,https://www.hvitstenhundepass.no,,google_maps
Ida's Hundepasser,Norge,Vestfold og Telemark,,,,google_maps
Skien Hundeskole,Norge,Vestfold og Telemark,,https://skienhundeskole.no,,google_maps
GoodDog,Norge,Vestfold og Telemark,,http://www.gooddog.no,https://www.facebook.com/gooddogbestfriends,google_maps
Hundeparken på Klyve,Norge,Vestfold og Telemark,,https://www.facebook.com/KlyveHundepark,,google_maps
Sletta hundeklubb,Norge,Vestfold og Telemark,,https://slettahundeklubb.com,,google_maps
Dogman and friends,Norge,Vestfold og Telemark,,https://dogman.no/store-detail/dogman-and-friends-porsgrunn,https://www.facebook.com/dogmanporsgrunn,google_maps
Telemark Dachshundklubb,Norge,Vestfold og Telemark,kennel@ratoppen.net,https://www.telemarkdachshundklubb.com/oppdrettere,https://www.facebook.com/pages/Kennel-Amaritas/244904605566825,google_maps
Kennel Pil Hundehotell,Norge,Vestfold og Telemark,irisbelinda@gmail.com,http://kennelpil.no,,google_maps
Dog Wash Grenland,Norge,Vestfold og Telemark,,http://www.dogwash.no,https://www.facebook.com/dogwash.porsgrunn.no,google_maps
Drøbak Dog Hotel AS,Norge,Vestfold og Telemark,post@drobakhundehotell.no,http://www.drobakhundehotell.no,https://www.facebook.com/pages/Dr%C3%B8bak-Hundehotell/176556182366747,google_maps
Thorsheim Hundesenter,Norge,Vestfold og Telemark,post@thorsheimkennel.no,http://www.thorsheimhundehotell.no,https://www.facebook.com/thorsheimhundehotell,google_maps
Dog Camp Hundehotell / Hundepensjonat,Norge,Vestfold og Telemark,dogcamp.booking@gmail.com,http://www.dogcamp.no,https://www.facebook.com/DogCampNorge,google_maps
Damtjern Hundehotell,Norge,Vestfold og Telemark,booking@damtjern.no,https://www.damtjern.no,,google_maps
Standal Hunde og Kattehotell,Norge,Vestfold og Telemark,,http://www.standal.no,,google_maps
Engell Hundesenter,Norge,Vestfold og Telemark,post@engellhundesenter.no,http://www.engellhundesenter.no,https://www.facebook.com/engellhundesenter,google_maps
Feriehunden,Norge,Vestfold og Telemark,,http://www.feriehunden.no,,google_maps
Solhaug Hundepensjonat,Norge,Møre og Romsdal,,http://www.blidhund.no,,google_maps
Hundeservice Ålesund,Norge,Møre og Romsdal,torilshundeservice@gmail.com,https://www.hundeserviceaalesund.com,https://www.facebook.com/Torils-Hundefris%C3%B8r-Dyresenteret-Tlf-41205298-107245082959401,google_maps
Doghouse Ålesund,Norge,Møre og Romsdal,,,,google_maps
Ålesund Hundesenter AS,Norge,Møre og Romsdal,johanthomas@alesundhundesenter.no,https://www.alesundhundesenter.no,https://www.facebook.com/alesundhundesenter,google_maps
Ålesund hund park,Norge,Møre og Romsdal,,https://www.facebook.com/groups/alesundhundepark,,google_maps
Rekdal Hundepensjonat,Norge,Møre og Romsdal,post@rekdaldyr.no,http://www.rekdaldyr.no,https://www.facebook.com/rekdaldyrepensjonat,google_maps
Sunnmøre Hundeklubb,Norge,Møre og Romsdal,,http://www.smhk.org,https://www.facebook.com/SunnmoreHK,google_maps
Hund & Katte Paradiset,Norge,Møre og Romsdal,,,,google_maps
Sponberg hundepensjonat,Norge,Møre og Romsdal,,https://sponberghundepensjonat.no,,google_maps
Tverberg hund- og kattepensjonat,Norge,Møre og Romsdal,nettsida@tverberghund.no,http://www.tverberghund.no,https://www.facebook.com/Tverberg-Hund-og-Kattepensjonat-415445108524594,google_maps
HUNDEPASSERNE Fornebu,Molde,Møre og Romsdal,post@hundepasserne.no,http://www.hundepasserne.no,https://www.facebook.com/webnode,google_maps
Nordbyen Hundepark,Norge,Møre og Romsdal,,,,google_maps
MöllerGårdens Hundcenter,Ängelholm,Møre og Romsdal,info@mollergardenshundcenter.se,http://www.mollergardenshundcenter.se,,google_maps
Värmdös Hunddagis & Djurpensionat,Värmdö,Møre og Romsdal,kontakt@varmdohunddagis.se,http://www.varmdohunddagis.se,https://www.facebook.com/varmdohunddagis,google_maps
Annie's hundhotell /hunddagis,Kristianstad,Møre og Romsdal,annieshundar@gmail.com,http://annieshundar.se,,google_maps
Tygelsjö Hundpensionat,Tygelsjö,Møre og Romsdal,info@europaresor.nu,https://xn--tygelsjhundpensionat-99b.se,,google_maps
Österlens Hundpensionat,Hammenhög,Møre og Romsdal,,https://osterlens-hundpensionat.webnode.se,,google_maps
Knektagårdens hundpensionat,Rolfstorp,Møre og Romsdal,knektagarden@hotmail.com,http://www.knektagarden.se,https://www.facebook.com/knektagarden,google_maps
Lodjuret Hunddagis,Malmö,Møre og Romsdal,hunddagiset@gmail.com,http://www.lodjuret.com,https://facebook.com/lodjurethunddagis,google_maps
Engen hundepensjonat,Molde,Møre og Romsdal,,,,google_maps
Kringsvoll Hundehotell,Molde,Møre og Romsdal,,,,google_maps
Myra Dogpark,Norge,Møre og Romsdal,,,,google_maps
Kristiansund hundeklubb,Norge,Møre og Romsdal,,http://krhk.no,https://www.facebook.com/kristiansund.hundeklubb,google_maps
Hundeland,Norge,Møre og Romsdal,,http://www.hundelandnordvest.com,,google_maps
Hundens Feriesenter,Norge,Sogn og Fjordane,info@hundensferiesenter.no,http://www.hundensferiesenter.no,,google_maps
HUNDEPASSERNE Fornebu,Nordfjord,Sogn og Fjordane,post@hundepasserne.no,http://www.hundepasserne.no,https://www.facebook.com/webnode,google_maps
Leikanger Hund,Norge,Sogn og Fjordane,,http://leikangerhund.com,,google_maps
Kvamme Dogcare,Norge,Sogn og Fjordane,kvammedogcare@gmail.com,http://www.kvammedogcare.com,,google_maps
Utsikten Hundepensjonat,Norge,Sogn og Fjordane,,,,google_maps
Hundegården Askøy,Norge,Sogn og Fjordane,,http://hundehotell.no,,google_maps
Hjortland Hundesportsenter,Norge,Sogn og Fjordane,hjortland@hundesportsenter.no,http://www.hundesportsenter.no,,google_maps
Villa Fureskjegget Hundepensjonat,Norge,Sogn og Fjordane,,https://www.facebook.com/profile.php,,google_maps
Lasse og Lise's Hundehotel,Norge,Sogn og Fjordane,,http://lasselise.no,https://www.facebook.com/pages/Lossasse-Lises-Hundehotel/188325927866796,google_maps
Lykkepoten Hundehotell Sølvi Underhaug Nordtveit,Norge,Sogn og Fjordane,,http://lykkepoten.no,https://www.facebook.com/lykkepoten,google_maps
Søyland hundehotell,Norge,Sogn og Fjordane,soyland.hundehotell@gmail.com,http://www.soylandhundehotell.com,https://facebook.com/S%C3%B8yland-Hundehotell-464703823962161,google_maps
Cozy Hundehotell,Norge,Sogn og Fjordane,post@cozyhundehotell.no,http://www.cozyhundehotell.no,https://www.facebook.com/cozyhundehotell,google_maps
Støle Hunde- og Kattepensjonat,Norge,Rogaland,,https://www.facebook.com/share/1AfBSQSq9R,,google_maps
Hegglund Hundepass,Haugesund,Rogaland,,https://www.facebook.com/share/1CQMVF1xdt,,google_maps
Hundepark,Norge,Rogaland,,,,google_maps
Haugaland Hundeskole ANS,Norge,Rogaland,,,,google_maps
Tønsberg Hundepark,Norge,Vestfold og Telemark,,,,google_maps
Grøstad Hundesenter,Norge,Vestfold og Telemark,,https://www.grostadhundesenter.com,,google_maps
Kennel Bergtatt Slipp hunden løs,Norge,Vestfold og Telemark,,,,google_maps
Tønsberg Hundeklubb,Norge,Vestfold og Telemark,,https://tonsberghundeklubb.no,https://www.facebook.com/tonsberghundeklubb,google_maps
Hege's Hundesalong,Norge,Vestfold og Telemark,post@tonsberg-dyreklinikk.no,https://www.tonsberg-dyreklinikk.no/behandling/pelsstell,,google_maps
Hello Doggy,Norge,Vestfold og Telemark,,http://www.hellodoggy.no,https://www.facebook.com/hellodoggyfrisor,google_maps
Hundenmin Hundeskole,Norge,Vestfold og Telemark,post@hundenmin.no,http://hundenmin.no,https://www.facebook.com/hundenminhundeskole,google_maps
Hundepensjonatet Mørk,Norge,Vestfold og Telemark,,http://www.vettin.no,,google_maps
Sandefjord Hundelufting,Norge,Vestfold og Telemark,hei@sandefjordhundelufting.no,http://www.sandefjordhundelufting.no,,google_maps
Sandefjord Hundepark,Norge,Vestfold og Telemark,,https://sandefjordhundeklubb.no/sandefjord-hundepark,,google_maps
Hundepasser Celine,Norge,Viken,,https://m.facebook.com/groups/657666431001265,,google_maps
Hundpensionat Mossahus,Klippan,Viken,info@hundpensionat-mossahus.se,http://www.hundpensionat-mossahus.se,,google_maps
"Mariedals Hundpensionat, Kattpensionat & Hästverksamhet",Kungsbacka,Viken,pelle@mariedahl.se,http://www.mariedahl.se,,google_maps
Kelilis Kennel og Hundepensjonat,Norge,Viken,,,,google_maps
Gyllerboda Hundcenter AB,Örbyhus,Viken,info@gyllerbodahundcenter.com,http://www.gyllerbodahundcenter.com,https://www.facebook.com/profile.php,google_maps
stjärnmossens hundpensionat,Färgelanda,Viken,,http://stjarnmossenshundpensionat.hemsida24.se,,google_maps
Lekvalls Hundpensionat,Lilla Edet,Viken,annika@lekvallshundpensionat.se,http://www.lekvallshundpensionat.se,,google_maps
Kungsbacka Hundpensionat,Kungsbacka,Viken,zakeya@live.se,http://www.kungsbackahundpensionat.se,,google_maps
Skolleras Hundpensionat,Lindome,Viken,,,,google_maps
MerryMac Hund- o. kattpensionat,Kalmar,Viken,merrymac315@gmail.com,http://www.merrymac.se,,google_maps
Kamperhaug Farm Dog Lodging and Shop,Norge,Viken,post@kamperhaug-gaard.no,http://kamperhauggaardoghundepensjonat.no,https://facebook.com/kamperhaugoghundepensjonat,google_maps
Håslövs Hundpensionat AB,Vellinge,Viken,info@hundpensionatet.nu,http://hundpensionatet.nu,https://www.facebook.com/H%C3%A5sl%C3%B6vs-Hundpensionat-205015593030,google_maps
Trollskogens hund och kattpensionat,Oskarshamn,Viken,info@dovestad.com,http://www.djurpensionat.com,,google_maps
Järvsö Hundtjänst,Järvsö,Viken,tau582b@tninet.se,http://www.hundstallet.dinstudio.se,,google_maps
Lund Hundepensjonat,Norge,Viken,post@lund-hund.no,http://www.lund-hund.no,https://www.facebook.com/LundHundetjenester,google_maps
Ski Hundepensjonat,Norge,Viken,post@skihundepensjonat.no,http://www.skihundepensjonat.no,https://www.facebook.com/www.skihundepensjonat.no,google_maps
Gunnarsmo Hundpensionat,Nybro,Viken,,,,google_maps
Oskarshamns Hundpensionat,Oskarshamn,Viken,,,,google_maps
Fredrikstad Hundepensjonat,Norge,Viken,,http://www.fredrikstadhundepensjonat.no,,google_maps
Østfold kennel og Hundesenter AS,Norge,Viken,josteingrav@gmail.com,https://ostfoldkennel.no,https://www.facebook.com/ostfoldkenneloghundesenter,google_maps
Hundebarnehagen i Østfold AS,Norge,Viken,,https://nb-no.facebook.com/Hundebarnehage,,google_maps
Hundepasser Oslo,Norge,Viken,,https://www.rover.com/sit/krists11103,,google_maps
Hundebarnehagen i Halden,Norge,Viken,hundebarnehagen.halden@gmail.com,https://hundebarnehagen-halden1.webnode.com,,google_maps
Who Let The Dogs Out? - Oslo Dog Walking,Norge,Viken,,https://oslo-hundelufting.no,,google_maps
Forsakvarns Hundpensionat,Slöinge,Viken,forsakvarnshundcenter@hotmail.com,http://forsakvarnshundcenter.com,,google_maps
Höglandets Hundpensionat,Sävsjö,Viken,,https://xn--hglandetshundpensionat-uhc.se,,google_maps
Normlösa lyckevallen hundpensionat,Skänninge,Viken,,http://mixalex.com,https://www.facebook.com/profile.php,google_maps
Bråvikens Hundpensionat HB,Norrköping,Viken,,,,google_maps
DoggsenCenter Hundpensionat / Hunddagis,Åby,Viken,info@doggsencenter.se,http://www.doggsencenter.se,,google_maps
Källhagens Gård & Hundpensionat,Lindesberg,Viken,info@kallhagens.se,https://kallhagens.se,https://facebook.com/kallhagens,google_maps
Bergshamra Hunddagis,Solna,Viken,,,,google_maps
Grändens Hunddagis & Pensionat AB,Knislinge,Viken,hunddagis@grandens.se,http://www.grandens.se,,google_maps
Norsk Shetland Sheepdog klubb,Norge,Viken,styret@nssk.no,http://www.nssk.no,https://www.facebook.com/NSSK-Norsk-Shetland-Sheepdog-Klubb-114734415276175,google_maps
Hundkojan,Lindesberg,Viken,info@kallhagens.se,http://www.hundkojanlinde.se,https://facebook.com/kallhagens,google_maps
Hundhaga,Höllviken,Viken,hundhaga@outlook.com,http://www.hundhaga.se,https://www.facebook.com/Hundhaga,google_maps
Hund i centrum Tagenevägen,Hisings Kärra,Agder,backaplan@hundicentrum.se,https://www.hundicentrum.se,http://sv-se.facebook.com/hundicentrum,google_maps
Kålltorps Hundställe AB,Göteborg,Agder,,http://kalltorpshundstalle.se,,google_maps
Göteborgs Hunddagis Backaplan,Göteborg,Agder,alingsas@goteborgshunddagis.se,https://www.goteborgshunddagis.se,https://www.facebook.com/GoteborgsHunddagis,google_maps
Mölndals hunddagis - Mölndal,Mölndal,Agder,molndalshunddagis@gmail.com,http://molndalshunddagis.se,https://www.facebook.com/p/M%C3%B6lndals-hunddagis-AB-100084048623355,google_maps
Göteborgs Hunddagis-Högsbo,Västra Frölunda,Agder,alingsas@goteborgshunddagis.se,https://www.goteborgshunddagis.se,https://www.facebook.com/GoteborgsHunddagis,google_maps
Göteborgs Hunddagis Mölndal,Mölndal,Agder,alingsas@goteborgshunddagis.se,https://www.goteborgshunddagis.se,https://www.facebook.com/GoteborgsHunddagis,google_maps
Hund i Centrum Hildebrandsgatan,Göteborg,Agder,backaplan@hundicentrum.se,https://www.hundicentrum.se,http://sv-se.facebook.com/hundicentrum,google_maps
Koppla Av Hundcenter AB i Mölndal,Mölndal,Agder,info@kopplaav.com,http://www.kopplaav.com,https://facebook.com/129692191440,google_maps
Göteborgs Hunddagis-Dog Royal på Hisingen,Göteborg,Agder,alingsas@goteborgshunddagis.se,https://goteborgshunddagis.se,https://www.facebook.com/GoteborgsHunddagis,google_maps
Göteborgs Hunddagis-Sisjön,Askim,Agder,alingsas@goteborgshunddagis.se,http://www.goteborgshunddagis.se,https://www.facebook.com/GoteborgsHunddagis,google_maps
Hundpositivet,Mölndal,Agder,info@hundpositivet.com,http://www.hundpositivet.com,https://www.facebook.com/hundpositivet,google_maps
Kayogården Hundpensionat - Hundpensionat Kungälv,Romelanda,Agder,info@kayogarden.se,https://www.kayogarden.se,,google_maps
Alingsås Hundarena-Hunddagis,Alingsås,Agder,alingsas@goteborgshunddagis.se,https://goteborgshunddagis.se,https://www.facebook.com/GoteborgsHunddagis,google_maps
Hundakademin Mölndal-Lindome,Lindome,Agder,info@hundakademin.com,https://hundakademin.se,,google_maps
VOFFii - Bedre hverdag for alle med hund,Norge,Agder,hei@voffii.no,http://www.voffii.no,https://www.facebook.com/www.voffii.no,google_maps
Dømmesmoen Hunde - og Aktivitetspark,Norge,Agder,,,,google_maps
Hundetrener Helene,Norge,Agder,helene@hundetrenerhelene.no,https://hundetrenerhelene.no,https://www.facebook.com/hundetrenerhelene,google_maps
HUNDEPASSERNE Fornebu,Grimstad,Agder,post@hundepasserne.no,http://www.hundepasserne.no,https://www.facebook.com/webnode,google_maps
Hundetrening,Norge,Agder,styret@fredrikstadbrukshundklubb.no,https://www.fredrikstadbrukshundklubb.no,https://www.facebook.com/FredrikstadOgOmegnBrukshundklubb,google_maps
Sarpsborg Dog Kindergarten,Norge,Agder,,,,google_maps
Hundesenteret As,Norge,Agder,,http://hundesenteret.no,,google_maps
Mariestads Hundpensionat,Mariestad,Agder,,,,google_maps
Rana Hundesenter AS,Norge,Nordland,lene@ranahundesenter.no,http://www.ranahundesenter.no,http://www.facebook.com/ranahundesenter,google_maps
Hundeklipperiet AS,Norge,Nordland,,,,google_maps
HUNDEPASSERNE Fornebu,Bodø,Nordland,post@hundepasserne.no,http://www.hundepasserne.no,https://www.facebook.com/webnode,google_maps
Øverstuen hund og katt,Norge,Nordland,overstuen@hotmail.com,http://www.overstuen-hundogkatt.com,https://nb-no.facebook.com/OverstuenHundOgKatt,google_maps
Bodø Hundeterapi Julie Leirvik,Norge,Nordland,,,,google_maps
Blåfjell Hundesenter AS,Norge,Nordland,blaafjellhundesenter@outlook.com,https://www.blaafjellhundesenter.no,https://www.facebook.com/blaafjellhundesenter,google_maps
Black Sheep Hundesenter,Bodø,Nordland,,,,google_maps
Høgtind kennel og hundehotell,Norge,Nordland,,http://hogtind-hundehotell.no,https://www.facebook.com/H%C3%B8gtind-Kennel-og-Hundehotell-As-738472403188129,google_maps
Gudebo hundpensionat,Strömstad,Nordland,hildegunn@gudebo.se,https://www.gudebo.se,,google_maps
Sundøy hundepensjonat,Norge,Nordland,,,,google_maps
Potenord Hundesenter & hundekurs Narvik,Norge,Nordland,kristine@potenord.no,http://potenord.no,,google_maps
Narvik Hundesenter,Norge,Nordland,kristine@potenord.no,https://www.narvikhundesenter.no,,google_maps
Black Sheep Hundesenter,Narvik,Nordland,,,,google_maps
Narvik hundepark,Norge,Nordland,,,,google_maps
Granbakken dyreklinikk og Hundepensjonat,Norge,Østland,post@granbakken.no,http://www.granbakken.no,,google_maps
Hundeglede,Norge,Østland,,http://hundeglede.com,,google_maps
Hundehus,Norge,Østland,,http://www.den4dogs.no,,google_maps
Stepan A. Ermakov hundepass,Norge,Østland,,https://www.stepanermakov.com/dog-sitting,,google_maps
Zen Dog Hundebarnehage & Nattpass,Norge,Østland,,,,google_maps
Gardermoen Hunde- og Kattehotell AS,Norge,Østland,post@ghkas.no,http://ghkas.no,,google_maps
Sofienbergparken Hundelufting,Norge,Østland,,https://www.facebook.com/sofienbergparkenhundelufting,,google_maps
Dalen Hundepensjonat,Norge,Østland,dalenhundepensjonat@gmail.com,https://dalenhundepensjonat.no,,google_maps
Hundedaghjemmet,Norge,Østland,,http://hundedaghjemmet.no,https://facebook.com/Hundedaghjemmet-165639643456234,google_maps
Hundebarnehagen AS,Norge,Østland,post@hundebarnehagen.no,http://hundebarnehage.com,,google_maps
DogWithin,Norge,Østland,info@dogwithin.com,http://www.dogwithin.com,https://www.facebook.com/wix,google_maps
Dogbros,Norge,Østland,,,,google_maps
Hundebarnehagen as avd. Bærum,Norge,Østland,post@hundebarnehagen.no,http://www.hundebarnehage.com,,google_maps
HUNDEPASSERNE Fornebu,Oslo,Østland,post@hundepasserne.no,http://www.hundepasserne.no,https://www.facebook.com/webnode,google_maps
Bergen Hundebarnehage,Norge,Hordaland,post@bergenhundebarnehage.no,https://www.bergenhundebarnehage.no,https://www.facebook.com/bergenhundebarnehage,google_maps
Bergen Hundesalong,Norge,Hordaland,bergenhundesalong@gmail.com,https://www.bergenhundesalong.no,https://www.facebook.com/bergenhundesalong,google_maps
BERGEN DOG SCHOOL,Norge,Hordaland,post@bergenhundeskole.no,http://www.bergenhundeskole.no,https://www.facebook.com/BergenHundeskole,google_maps
Bergen Dog Hall,Norge,Hordaland,hundehall@outlook.com,https://www.bergenhundehall.no,https://www.facebook.com/askoybrenselas,google_maps
Åsane hundebarnehage,Norge,Hordaland,,,,google_maps
Hundegård På Klauvaneset,Norge,Hordaland,,https://www.facebook.com/share/n7r3T5LdLM88iRwV,,google_maps
Bergen Hundeterapi AS,Norge,Hordaland,post@bergenhundeterapi.no,https://bergenhundeterapi.no,https://www.facebook.com/BergenHundeterapi,google_maps
Fjellanger Hundesenter,Norge,Hordaland,post@fjellanger.net,https://www.fjellanger.net,https://www.facebook.com/Fjellanger-Hundeskole-AS-332215235079,google_maps
Hundeluftegård,Norge,Hordaland,,,,google_maps
Fjellbakk Hundehotell,Norge,Hordaland,,,,google_maps
Erwoldergården Hundehotell Erwolder,Norge,Hordaland,,,,google_maps
Tunge Hundesenter,Norge,Hordaland,tunge@hund.as,https://www.tungehundesenter.no,https://www.facebook.com/Tungehundesenter.no,google_maps
Trondheim Hundehotell AS,Norge,Trøndelag,post@trondheimhundehotell.no,https://www.trondheimhundehotell.no,https://www.facebook.com/trondheimhundehotell,google_maps
Tolvstad DogCare,Norge,Trøndelag,,,,google_maps
Byneset Hundepensjonat,Norge,Trøndelag,g-oh@online.no,http://bynesethundepensjonat.com,https://www.facebook.com/bynesethundepensjonat,google_maps
Nordset Hundepensjonat,Norge,Trøndelag,gaardsdrift@outlook.com,http://www.gaardsdrift.com,https://facebook.com/profile.php,google_maps
Trøndelag Hund og Kattesenter,Norge,Trøndelag,,http://firelabber.no,,google_maps
Sørstu Hundehotell,Norge,Trøndelag,bakk@sorstuhundehotell.no,http://www.sorstuhundehotell.no,https://www.facebook.com/profile.php,google_maps
Snåsa Hundepensjonat,Norge,Trøndelag,,,,google_maps
Hund i Norge,Norge,Trøndelag,,https://hundinorge.no,,google_maps
York Hundesalong,Norge,Trøndelag,,http://yorkhundesalong.no,,google_maps
Trines Hundesalong AS,Norge,Trøndelag,,,,google_maps
Havstein Hundeluftegård,Norge,Trøndelag,ola@wanvik.no,http://www.havsteingolf.no,,google_maps
Hundehagen,Trondheim,Trøndelag,annemarit@hundehagen.no,http://www.hundehagen.no,,google_maps
Pan’s place hundefrisør og hundepassering,Norge,Rogaland,,http://pansplace.no,http://facebook.com/profile.php,google_maps
Sørmarka hundeluftingsområde,Norge,Rogaland,vilde.folgesvold.lovra@stavanger.kommune.no,https://www.stavanger.kommune.no/kultur-og-fritid/tur-og-natur/hundehold-i-stavanger/#her-kan-hunden-l-pe-fritt,https://www.facebook.com/stavangerkommune,google_maps
Tones hundepass,Norge,Rogaland,,https://privatkennel.no,,google_maps
Zarstø Dog and Cat Hotel,Norge,Rogaland,leif@zarsto.no,https://zarsto.no,https://www.facebook.com/zarsto,google_maps
Doggy Day Care Lisa Kolnes,Norge,Rogaland,,,,google_maps
Hundvåg,Norge,Rogaland,,,,google_maps
