namn,friendly_name,stad,lan,email,hemsida,facebook,kalla,skickat,datum,tid
TEST1,Testgården,Oslo,Viken,tb.sandblad+test1@gmail.com,,,test,,,
TEST2,Hundehotellet,Bergen,Hordaland,tb.sandblad+test2@gmail.com,,,test,,,
TEST3,Valpens Venn,Trondheim,Trøndelag,tb.sandblad+test3@gmail.com,,,test,,,
TEST4,Nordpolen Hundepensjonat,Tromsø,Troms og Finnmark,tb.sandblad+test4@gmail.com,,,test,,,
TEST5,Kennel Superior White,Stavanger,Rogaland,tb.sandblad+test5@gmail.com,,,test,,,
Skaugom hundesenter Stian Stende,Skaugom hundesenter Stian Stende,Norge,Innlandet,post@skaugom.no,http://www.skaugom.no,https://www.facebook.com/skaugomhundesenter,google_maps,,,
Gjøvik hundebarnehage,Gjøvik,Norge,Innlandet,post@gjovikhundebarnehage.no,http://www.gjovikhundebarnehage.no,https://www.facebook.com/gjovikhundebarnehage,google_maps,,,
Nosework Gjøvik – Inga Lilja Standerholen Hundeinstruktør,Nosework Gjøvik – Inga Lilja Standerholen Hundeinstruktør,Norge,Innlandet,info@noseworkgjovik.no,http://noseworkgjovik.no,https://www.facebook.com/noseworkgjovik,google_maps,,,
Midtbugaard Hundepensjonat,Midtbugaard,Norge,Innlandet,midtbugaard225@gmail.com,http://midtbugaard.com,,google_maps,,,
Stenberg Hundesenter,Stenberg Hundesenter,Norge,Innlandet,,http://stenberghundesenter.no,http://www.facebook.com/stenberghundesenter,google_maps,,,
Nordvang Hundepensjonat,Nordvang,Norge,Innlandet,info@nordvang-hundepensjonat.no,http://www.nordvang-hundepensjonat.no,https://www.facebook.com/Nordvang.Hundepensjonat,google_maps,,,
"Hundelodgen, Vangsåsen","Hundelodgen, Vangsåsen",Norge,Innlandet,,http://hundelodgen.no,,google_maps,,,
Lunner Katte- og Hundepensjonat AS,Lunner Katte- og,Norge,Innlandet,bo*****@**************nd.no,http://lunnerkattoghund.no,,google_maps,,,
Labben Hundepensjonat,Labben,Norge,Vestfold og Telemark,birgitte@hundepasser.no,http://hundepasser.no,https://www.facebook.com/labben.hundehotell/reviews,google_maps,,,
Solvik Dog Farm,Solvik Dog Farm,Norge,Vestfold og Telemark,,http://xn--solvikhundegrd-wib.no,,google_maps,,,
Skien Hundelufting,Skien Hundelufting,Norge,Vestfold og Telemark,roger@skienhundelufting.no,http://www.skienhundelufting.no,,google_maps,,,
Gode Hundedager hundelufting og hundepass i Ski,Gode Hundedager hundelufting og i Ski,Norge,Vestfold og Telemark,,https://godehundedager.wordpress.com,,google_maps,,,
VennenSin Hundelufting & Hundepass | Oslo og Bærum,VennenSin Hundelufting & | Oslo og Bærum,Norge,Vestfold og Telemark,,https://www.hundeluftingoslo.no,https://www.facebook.com/oslohundepass,google_maps,,,
The DogFather Skien,The DogFather Skien,Norge,Vestfold og Telemark,,https://thedogfather.no,,google_maps,,,
Paw Paradise - Hundehotell & Kattehotell,Paw Paradise - Hundehotell & Kattehotell,Norge,Vestfold og Telemark,contact@mysite.com,http://www.pawparadise.no,,google_maps,,,
Dog care - take care of dog in its home,Dog care - take care of dog in its home,Norge,Vestfold og Telemark,,https://www.facebook.com/Hundepass-pass-av-hund-i-hjemmet-alternativ-til-kennelpensjonat-164015657004854,,google_maps,,,
Ellefsen Hundehotell AS,Ellefsen,Norge,Vestfold og Telemark,martine@ellefsenhundehotell.no,https://ellefsenhundehotell.no,https://www.facebook.com/profile.php,google_maps,,,
Hvitsten Hundepass,Hvitsten,Norge,Vestfold og Telemark,,https://www.hvitstenhundepass.no,,google_maps,,,
Ida's Hundepasser,Ida's Hundepasser,Norge,Vestfold og Telemark,,,,google_maps,,,
Skien Hundeskole,Skien Hundeskole,Norge,Vestfold og Telemark,,https://skienhundeskole.no,,google_maps,,,
GoodDog,GoodDog,Norge,Vestfold og Telemark,,http://www.gooddog.no,https://www.facebook.com/gooddogbestfriends,google_maps,,,
Hundeparken på Klyve,Hundeparken på Klyve,Norge,Vestfold og Telemark,,https://www.facebook.com/KlyveHundepark,,google_maps,,,
Sletta hundeklubb,Sletta hundeklubb,Norge,Vestfold og Telemark,,https://slettahundeklubb.com,,google_maps,,,
Dogman and friends,Dogman and friends,Norge,Vestfold og Telemark,,https://dogman.no/store-detail/dogman-and-friends-porsgrunn,https://www.facebook.com/dogmanporsgrunn,google_maps,,,
Telemark Dachshundklubb,Telemark Dachshundklubb,Norge,Vestfold og Telemark,kennel@ratoppen.net,https://www.telemarkdachshundklubb.com/oppdrettere,https://www.facebook.com/pages/Kennel-Amaritas/244904605566825,google_maps,,,
Kennel Pil Hundehotell,Kennel Pil,Norge,Vestfold og Telemark,irisbelinda@gmail.com,http://kennelpil.no,,google_maps,,,
Dog Wash Grenland,Dog Wash Grenland,Norge,Vestfold og Telemark,,http://www.dogwash.no,https://www.facebook.com/dogwash.porsgrunn.no,google_maps,,,
Drøbak Dog Hotel AS,Drøbak Dog Hotel,Norge,Vestfold og Telemark,post@drobakhundehotell.no,http://www.drobakhundehotell.no,https://www.facebook.com/pages/Dr%C3%B8bak-Hundehotell/176556182366747,google_maps,,,
Thorsheim Hundesenter,Thorsheim Hundesenter,Norge,Vestfold og Telemark,post@thorsheimkennel.no,http://www.thorsheimhundehotell.no,https://www.facebook.com/thorsheimhundehotell,google_maps,,,
Dog Camp Hundehotell / Hundepensjonat,Dog Camp,Norge,Vestfold og Telemark,dogcamp.booking@gmail.com,http://www.dogcamp.no,https://www.facebook.com/DogCampNorge,google_maps,,,
Damtjern Hundehotell,Damtjern,Norge,Vestfold og Telemark,booking@damtjern.no,https://www.damtjern.no,,google_maps,,,
Standal Hunde og Kattehotell,Standal Hunde og Kattehotell,Norge,Vestfold og Telemark,,http://www.standal.no,,google_maps,,,
Engell Hundesenter,Engell Hundesenter,Norge,Vestfold og Telemark,post@engellhundesenter.no,http://www.engellhundesenter.no,https://www.facebook.com/engellhundesenter,google_maps,,,
