namn,stad,lan,email,hemsida,facebook,kalla,raw_address,phone,raw_source
Skaugom hundesenter Stian Stende,Norge,Innlandet,post@skaugom.no,http://www.skaugom.no,https://www.facebook.com/skaugomhundesenter,google_maps,"Blivgodtvegen 136, 2825 Gjøvik, Norge",+47 94 02 93 00,serpapi_google_maps
Gjøvik hundebarnehage,Norge,Innlandet,post@gjovikhundebarnehage.no,http://www.gjovikhundebarnehage.no,https://www.facebook.com/gjovikhundebarnehage,google_maps,"Blivgodtvegen 136, 2825 Gjøvik, Norge",+47 91 33 50 72,serpapi_google_maps
Nosework Gjøvik – Inga Lilja Standerholen Hundeinstruktør,Norge,Innlandet,info@noseworkgjovik.no,http://noseworkgjovik.no,https://www.facebook.com/noseworkgjovik,google_maps,"Kollsvegen 693, 2825 Gjøvik, Norge",+47 97 75 41 42,serpapi_google_maps
Midtbugaard Hundepensjonat,Norge,Innlandet,midtbugaard225@gmail.com,http://midtbugaard.com,,google_maps,"Midtbuvegen 225, 2843 Eina, Norge",+47 99 10 87 45,serpapi_google_maps
Stenberg Hundesenter,Norge,Innlandet,,http://stenberghundesenter.no,http://www.facebook.com/stenberghundesenter,google_maps,"Hågårlia 107, 2843 Eina, Norge",+47 95 76 15 55,serpapi_google_maps
Gårdsbackens Hundcenter,Örnsköldsvik,Innlandet,gardsbacken@telia.com,http://gardsbacken.se,https://www.facebook.com/Gardsbacken,google_maps,"Västergundsjö 127, 891 92 Örnsköldsvik",070-659 71 99,serpapi_google_maps
Nordvang Hundepensjonat,Norge,Innlandet,info@nordvang-hundepensjonat.no,http://www.nordvang-hundepensjonat.no,https://www.facebook.com/Nordvang.Hundepensjonat,google_maps,"Chausseen, 2340 Løten, Norge",+47 46 77 89 42,serpapi_google_maps
"Hundelodgen, Vangsåsen",Norge,Innlandet,,http://hundelodgen.no,,google_maps,"Veståsvegen 308, 2323 Ingeberg, Norge",+47 48 11 15 55,serpapi_google_maps
Lunner Katte- og Hundepensjonat AS,Norge,Innlandet,bo*****@**************nd.no,http://lunnerkattoghund.no,,google_maps,"Dæhlinvegen 15, 2730 Lunner, Norge",+47 90 91 71 67,serpapi_google_maps
Labben Hundepensjonat,Norge,Vestfold og Telemark,birgitte@hundepasser.no,http://hundepasser.no,https://www.facebook.com/labben.hundehotell/reviews,google_maps,"Lystadvegen 51, 2040 Kløfta, Norge",+47 95 22 28 52,serpapi_google_maps
Solvik Dog Farm,Norge,Vestfold og Telemark,,http://xn--solvikhundegrd-wib.no,,google_maps,"Lindemans gate 12, 3723 Skien, Norge",+47 92 83 60 27,serpapi_google_maps
Skien Hundelufting,Norge,Vestfold og Telemark,roger@skienhundelufting.no,http://www.skienhundelufting.no,,google_maps,"Trollsåsvegen 20, 3711 Skien, Norge",+47 90 80 96 77,serpapi_google_maps
Gode Hundedager hundelufting og hundepass i Ski,Norge,Vestfold og Telemark,,https://godehundedager.wordpress.com,,google_maps,"Haugerveien 4B, 1400 Ski, Norge",+47 91 67 64 37,serpapi_google_maps
