namn,friendly_name,stad,lan,email,hemsida,facebook,kalla,skickat,datum,tid
Gårdsbackens Hundcenter,Gårdsbackens Hundcenter,Örnsköldsvik,Innlandet,gardsbacken@telia.com,http://gardsbacken.se,https://www.facebook.com/Gardsbacken,google_maps,skickat,2026-04-01,07:14
MöllerGårdens Hundcenter,MöllerGårdens Hundcenter,Ängelholm,Møre og Romsdal,info@mollergardenshundcenter.se,http://www.mollergardenshundcenter.se,,google_maps,skickat,2026-04-01,06:34
Värmdös Hunddagis & Djurpensionat,Värmdös,Värmdö,Møre og Romsdal,kontakt@varmdohunddagis.se,http://www.varmdohunddagis.se,https://www.facebook.com/varmdohunddagis,google_maps,skickat,2026-03-31,18:22
Annie's hundhotell /hunddagis,Annie's,Kristianstad,Møre og Romsdal,annieshundar@gmail.com,http://annieshundar.se,,google_maps,skickat,2026-04-01,06:26
Tygelsjö Hundpensionat,Tygelsjö,Tygelsjö,Møre og Romsdal,info@europaresor.nu,https://xn--tygelsjhundpensionat-99b.se,,google_maps,skickat,2026-03-31,16:46
Österlens Hundpensionat,Österlens,Hammenhög,Møre og Romsdal,,https://osterlens-hundpensionat.webnode.se,,google_maps,,,
Knektagårdens hundpensionat,Knektagården,Rolfstorp,Møre og Romsdal,knektagarden@hotmail.com,http://www.knektagarden.se,https://www.facebook.com/knektagarden,google_maps,skickat,2026-04-01,06:46
Lodjuret Hunddagis,Lodjuret,Malmö,Møre og Romsdal,hunddagiset@gmail.com,http://www.lodjuret.com,https://facebook.com/lodjurethunddagis,google_maps,skickat,2026-03-31,16:46
Hundpensionat Mossahus,Hundpensionat Mossahus,Klippan,Viken,info@hundpensionat-mossahus.se,http://www.hundpensionat-mossahus.se,,google_maps,skickat,2026-03-31,18:10
"Mariedals Hundpensionat, Kattpensionat & Hästverksamhet","Mariedals Hundpensionat, Kattpensionat & Hästverksamhet",Kungsbacka,Viken,pelle@mariedahl.se,http://www.mariedahl.se,,google_maps,skickat,2026-04-01,06:50
Gyllerboda Hundcenter AB,Gyllerboda Hundcenter,Örbyhus,Viken,info@gyllerbodahundcenter.com,http://www.gyllerbodahundcenter.com,https://www.facebook.com/profile.php,google_maps,,,
stjärnmossens hundpensionat,stjärnmossens,Färgelanda,Viken,,http://stjarnmossenshundpensionat.hemsida24.se,,google_maps,,,
Lekvalls Hundpensionat,Lekvalls,Lilla Edet,Viken,annika@lekvallshundpensionat.se,http://www.lekvallshundpensionat.se,,google_maps,skickat,2026-03-31,18:46
Kungsbacka Hundpensionat,Kungsbacka,Kungsbacka,Viken,zakeya@live.se,http://www.kungsbackahundpensionat.se,,google_maps,skickat,2026-04-01,06:50
Skolleras Hundpensionat,Skolleras,Lindome,Viken,,,,google_maps,,,
MerryMac Hund- o. kattpensionat,MerryMac Hund- o. kattpensionat,Kalmar,Viken,merrymac315@gmail.com,http://www.merrymac.se,,google_maps,skickat,2026-04-01,06:58
Håslövs Hundpensionat AB,Håslövs,Vellinge,Viken,info@hundpensionatet.nu,http://hundpensionatet.nu,https://www.facebook.com/H%C3%A5sl%C3%B6vs-Hundpensionat-205015593030,google_maps,skickat,2026-03-31,16:50
Trollskogens hund och kattpensionat,Trollskogens hund och kattpensionat,Oskarshamn,Viken,info@dovestad.com,http://www.djurpensionat.com,,google_maps,skickat,2026-04-01,07:46
