namn,stad,lan,email,hemsida,facebook,kalla
Stockholms Kennelklubb,Stockholm,Stockholms län,info@stokk.se,http://www.stokk.se,https://www.facebook.com/Stockholmskennelklubb,google_maps
Bichon Havanais Kennel,Stockholm,Stockholms län,,http://www.bichonhavanais.se,https://sv-se.facebook.com/kennel.chandaroff,google_maps
Shaulins kennel,Stockholm,Stockholms län,boel.schaulin@gmail.com,https://shaulin.webnode.se/kontakt,,google_maps
Jaktlyans Kennel,Norrby,Stockholms län,,http://www.jaktlyan.nu,,google_maps
Sweet Desires Kennel,Stockholm,Stockholms län,info@sweetdesireskennel.se,http://www.sweetdesireskennel.se/kontakt/contact,,google_maps
Kennel Superior White,Danderyd,Stockholms län,post@kennelsw.se,http://kennelsw.se/Kontakt.html,,google_maps
Chippens Kennel,Enskede,Stockholms län,,,,google_maps
Chantli's Kennel,Torslanda,Västra Götalands län,asa.gyllenglimma@gmail.com,https://asagyllenglimma.wixsite.com/chantliskennel,http://www.facebook.com/wix,google_maps
Drömgårdens Kennel & Kurser,Härryda,Västra Götalands län,info@dromgardenskennel.se,http://dromgardenskennel.se,https://www.facebook.com/dromgardenskennel,google_maps
Guldkullens Kennel & Kurser,Rävlanda,Västra Götalands län,info@guldkullens.se,http://www.guldkullens.se,https://www.facebook.com/guldkullens,google_maps
Örjansbergets Kennel,Göteborg,Västra Götalands län,,,,google_maps
Kennel Line Sam,Bredared,Västra Götalands län,linesam@gmail.com,http://www.linesam.com,,google_maps
Kennel Black Orange's Pomeranian,Hyssna,Västra Götalands län,blackorangess@hotmail.com,http://www.blackoranges.se,,google_maps
RottiPowah Rottweiler Kennel,Malmö,Skåne län,contact@rottipowah.se,https://www.rottipowah.se,https://www.facebook.com/rottipowah,google_maps
Novens Kennel,Vellinge,Skåne län,info@novens-kennel.com,http://novens-kennel.com,https://www.facebook.com/novens.kennel,google_maps
Gaso’s Kennel,Malmö,Skåne län,,https://www.instagram.com/gasos_kennel,,google_maps
Stjärnans black and Tan Kennel,Malmö,Skåne län,,,,google_maps
kennel Sublime,Malmö,Skåne län,,http://www.kerryblueterrier.se,,google_maps
Sydskånska Kennelklubben,Arlöv,Skåne län,,,,google_maps
Rissies Kennel,Genarp,Skåne län,,https://www.rissieskennel.se,,google_maps
Landgold kennel,Svedala,Skåne län,,,,google_maps
Kennel Golden Mystery,Oxie,Skåne län,kennelgoldenmystery@gmail.com,http://goldenmystery.com/hem.htm,,google_maps
Orkanens Kennel,Malmö,Skåne län,,http://www.orkanens.se/en/contact-us,,google_maps
Bubblans Kennel,Malmö,Skåne län,a.umenmark@gmail.com,http://bubblanskennel.se/contact.html,,google_maps
