namn,friendly_name,stad,lan,email,hemsida,facebook,kalla,skickat,datum,tid
Stockholms Kennelklubb,Stockholms Kennelklubb,Stockholm,Stockholms län,info@stokk.se,http://www.stokk.se,https://www.facebook.com/Stockholmskennelklubb,google_maps,,,
Bichon Havanais Kennel,Bichon Havanais,Stockholm,Stockholms län,,http://www.bichonhavanais.se,https://sv-se.facebook.com/kennel.chandaroff,google_maps,skickat,,
Shaulins kennel,Shaulins,Stockholm,Stockholms län,boel.schaulin@gmail.com,https://shaulin.webnode.se/kontakt,,google_maps,skickat,2026-03-26,09:18
Jaktlyans Kennel,Jaktlyans,Norrby,Stockholms län,,http://www.jaktlyan.nu,,google_maps,skickat,,
Sweet Desires Kennel,Sweet Desires,Stockholm,Stockholms län,info@sweetdesireskennel.se,http://www.sweetdesireskennel.se/kontakt/contact,,google_maps,skickat,2026-03-26,09:18
Kennel Superior White,Kennel Superior White,Danderyd,Stockholms län,post@kennelsw.se,http://kennelsw.se/Kontakt.html,,google_maps,skickat,2026-03-26,09:23
Chippens Kennel,Chippens,Enskede,Stockholms län,,,,google_maps,,,
Chantli's Kennel,Chantli's,Torslanda,Västra Götalands län,asa.gyllenglimma@gmail.com,https://asagyllenglimma.wixsite.com/chantliskennel,http://www.facebook.com/wix,google_maps,skickat,2026-03-26,09:23
Drömgårdens Kennel & Kurser,Drömgården,Härryda,Västra Götalands län,info@dromgardenskennel.se,http://dromgardenskennel.se,https://www.facebook.com/dromgardenskennel,google_maps,skickat,2026-03-26,09:27
Guldkullens Kennel & Kurser,Guldkullen,Rävlanda,Västra Götalands län,info@guldkullens.se,http://www.guldkullens.se,https://www.facebook.com/guldkullens,google_maps,skickat,2026-03-26,09:27
Örjansbergets Kennel,Örjansberget,Göteborg,Västra Götalands län,,,,google_maps,,,
Kennel Line Sam,Kennel Line Sam,Bredared,Västra Götalands län,linesam@gmail.com,http://www.linesam.com,,google_maps,skickat,2026-03-26,09:31
Kennel Black Orange's Pomeranian,Kennel Black Orange's Pomeranian,Hyssna,Västra Götalands län,blackorangess@hotmail.com,http://www.blackoranges.se,,google_maps,skickat,2026-03-26,09:31
RottiPowah Rottweiler Kennel,RottiPowah Rottweiler,Malmö,Skåne län,contact@rottipowah.se,https://www.rottipowah.se,https://www.facebook.com/rottipowah,google_maps,skickat,2026-03-26,09:35
Novens Kennel,Novens,Vellinge,Skåne län,info@novens-kennel.com,http://novens-kennel.com,https://www.facebook.com/novens.kennel,google_maps,skickat,2026-03-26,09:39
