namn,friendly_name,stad,lan,email,hemsida,facebook,kalla,skickat,datum,tid
Södertälje Lokala Kennelklubb,Södertälje Lokala Kennelklubb,Södertälje,Stockholms län,styrelsen@sodertaljekk.se,http://sodertaljekk.se,,google_maps,,,
Kennel Galactic Defender,Kennel Galactic Defender,Kiruna,Norrbottens län,galacticdefender@hotmail.com,http://www.galacticdefender.se/kenneln.html,,google_maps,,,
Kennel Yrar,Kennel Yrar,Enköping,Uppsala län,hundar@yrar.se,http://www.yrar.se,https://www.facebook.com/agnes.t.yrar,google_maps,,,
Kennel Rollingwave,Kennel Rollingwave,Östersund,Jämtlands län,kennelrollingwave@gmail.com,https://www.rollingwave.se/kontakt,,google_maps,,,
Mölleskog kennel,Mölleskog,Fryele,Jönköpings län,molleskogs@hotmail.com,http://www.molleskogskennel.se,,google_maps,,,
Gullvivebacken's kennel,Gullvivebacken's,Enhörna,Södermanlands län,sara.palonen77@gmail.com,https://kennelsida.wixsite.com/gullvivebackens,,google_maps,,,
Flugdammens Eros Landseer Kennel,Flugdammens Eros Landseer,Bollnäs,Gävleborgs län,inga.malm@flugdammen.se,http://flugdammen.se/flugdammens%20Kennel.html,,google_maps,,,
Hudiksvalls Kennelklubb,Hudiksvalls Kennelklubb,Hudiksvall,Gävleborgs län,info@hudiksvallskennelklubb.se,http://www.hudiksvallskennelklubb.se,,google_maps,,,
Kennel Stenseiten,Kennel Stenseiten,Motala,Östergötlands län,lapphund@stenseiten.se,http://www.stenseiten.se,,google_maps,,,
Jämtland/Härjedalens Kennelklubb,Jämtland/Härjedalens Kennelklubb,Östersund,Jämtlands län,marlene.berner@outlook.com,https://www.skk.se/sv/JHKK,https://www.facebook.com/jhkennelklubb,google_maps,,,
Jägarfamiljens Kennel,Jägarfamiljens,Nyköping,Södermanlands län,jagarfamiljenskennel@gmail.com,http://jagarfamiljens.se,http://www.facebook.com/J%C3%A4garfamiljens-Kennel-287720738049430,google_maps,,,
Bergalids Kennel,Bergalids,Furusund,Stockholms län,info@bergalidskennel.se,https://www.bergalidskennel.se,https://www.facebook.com/bergalidskennel,google_maps,,,
ArbaQ´s Kennel,ArbaQ's,Upplands Väsby,Stockholms län,marie.backstrom@ri.se,http://www.arbaq.se/kontakt.htm,,google_maps,,,
Kennel World's Wildest,Kennel World's Wildest,Mjölby,Östergötlands län,info@worldswildest.se,http://www.worldswildest.se,,google_maps,,,
Kennel Snesslinge,Kennel Snesslinge,Östhammar,Jönköpings län,kennelsnesslinge@gmail.com,http://kennelsnesslinge.se,https://www.facebook.com/kennelsnesslinge,google_maps,,,
Stockholms Kennelklubb,Stockholms Kennelklubb,Stockholm,Stockholms län,info@stokk.se,http://www.stokk.se,https://www.facebook.com/Stockholmskennelklubb,google_maps,,,
Designerline kennel,Designerline,Väddö,Stockholms län,kenneldesignerline@gmail.com,http://designerline.blogspot.com,,google_maps,,,
Loumils Kennel,Loumils,Roknäs,Norrbottens län,susanne@torpa.net,http://loumils.se/om-oss,,google_maps,,,
Fagersta Kennelklubb,Fagersta Kennelklubb,Fagersta,Västmanlands län,fagerstakk@hotmail.com,http://fagerstakk.se,,google_maps,,,
Kennel Momabo's,Kennel Momabo's,Bollnäs,Gävleborgs län,iapudel@gmail.com,http://www.momabos.se,,google_maps,,,
Fröken Saber: hundtrim och kennel,Fröken Saber: hundtrim och,Visby,Gotlands län,frokensaraberg@gmail.com,https://www.alertandbrave.se,,google_maps,,,
Köpings kennelklubb KAK,Köpings kennelklubb KAK,Kolsva,Västmanlands län,info@kopingskennelklubbkak.se,http://www.kopingskennelklubbkak.se,,google_maps,,,
Västernorrlands Kennelklubb,Västernorrlands Kennelklubb,Sundsbruk,Västernorrlands län,sekreterare@vnkk.se,http://www.skk.se/vnkk,https://www.facebook.com/VasternorrlandsKennelklubb,google_maps,,,
Kennel Kemppi´s,Kennel Kemppi's,Strängnäs,Södermanlands län,asa.kemppi@gmail.com,http://www.kemppis.se/empty_7.html,,google_maps,,,
Svenska Kennelklubben,Svenska Kennelklubben,Sollentuna,Stockholms län,medlem@skk.se,https://www.skk.se,,google_maps,,,
Kennel Glädjeruset,Kennel Glädjeruset,Fridlevstad,Blekinge län,ebbasmatte77@gmail.com,https://www.kennelgladjeruset.se/kurser-workshops/kurs,http://www.facebook.com/ebbasmatte,google_maps,,,
skumparpskennel,skumparpskennel,Bunkeflostrand,Skåne län,info@skumparps.se,https://www.skumparps.se,,google_maps,,,
Kennel Chanco,Kennel Chanco,Åäng,Kronobergs län,info@kennelchanco.se,http://www.kennelchanco.se,https://www.facebook.com/profile.php,google_maps,,,
Capandus Kennel,Capandus,Ödsmål,Västernorrlands län,capandus kennel%20%3cvalpar@capandus.se%3e,https://www.capandus.se/index.htm,https://www.facebook.com/capandus,google_maps,,,
