namn,friendly_name,stad,lan,email,hemsida,facebook,kalla,skickat,datum,tid
Espab AB :: Krullets Kennel,Espab :: Krullets,Norrtälje,Stockholms län,info@krullets.se,http://www.krullets.se,https://facebook.com/krullets.kennel,google_maps,,,
Evallens Kennel,Evallens,Almunge,Stockholms län,ewa@martensby.se,http://www.martensby.se,https://www.facebook.com/ewa.myrbrink,google_maps,,,
Kennel TufflaZ,Kennel TufflaZ,Sandarne,Gävleborgs län,info@tufflaz.se,http://www.tufflaz.se,https://www.facebook.com/tufflaz,google_maps,,,
Andhämtningens Kennel,Andhämtningens,Åseda,Kronobergs län,golden@andhamtningen.se,http://www.andhamtningen.se,https://www.facebook.com/Andh%C3%A4mtningens-kennel-482953225217275,google_maps,,,
Kennel Itanema,Kennel Itanema,Åkersberga,Stockholms län,therese@itanema.se,https://www.itanema.se,,google_maps,,,
Ekespångs Kennel,Ekespångs,Hamneda,Kronobergs län,susanne@ekespangskennel.se,http://www.ekespangskennel.se,,google_maps,,,
Strängnäs Lokala Kennelklubb,Strängnäs Lokala Kennelklubb,Strängnäs,Södermanlands län,info@slkk.se,http://www.slkk.se,https://www.facebook.com/StrangnasLokalaKennelklubb,google_maps,,,
Kennel Superioue's,Kennel Superioue's,Flisby,Jönköpings län,info@superioues.se,http://www.superioues.se,,google_maps,,,
Skutegårdens kennel,Skutegårdens,Fåker,Jämtlands län,cardigan@telia.com,http://www.cathen.se,https://www.facebook.com/pages/Skuteg%C3%A5rdens-kennel/824283280941134,google_maps,,,
Gästriklands Kennelklubb,Gästriklands Kennelklubb,Gävle,Gävleborgs län,sekreterare@gastriklandskk.se,https://www.skk.se/gakk,,google_maps,,,
Småland-Ölands Kennelklubb,Småland-Ölands Kennelklubb,Lenhovda,Kronobergs län,info@smokk.se,http://www.smokk.se,https://www.facebook.com/smalandolands.kennelklubb,google_maps,,,
