namn,stad,lan,email,hemsida,facebook,kalla,raw_address,phone,raw_source
Stockholms Kennelklubb,Stockholm,Stockholms län,info@stokk.se,http://www.stokk.se,https://www.facebook.com/Stockholmskennelklubb,google_maps,"Rindögatan 25, 115 58 Stockholm",08-111 11 11,serpapi_google_maps
Hundstallet Stockholm,Bromma,Stockholms län,givarservice@hundstallet.se,https://www.hundstallet.se,https://www.facebook.com/hundstallet,google_maps,"Åkeshovs gårdsväg 10, 168 38 Bromma",010-175 32 00,serpapi_google_maps
Bichon Havanais Kennel,Stockholm,Stockholms län,,http://www.bichonhavanais.se,https://sv-se.facebook.com/kennel.chandaroff,google_maps,"Upplandsgatan 34, 113 28 Stockholm",070-565 01 95,serpapi_google_maps
Dog Planet AB,Stockholm,Stockholms län,info@dogplanet.se,http://www.dogplanet.se,,google_maps,"Valhallavägen 192, 115 27 Stockholm",08-660 80 20,serpapi_google_maps
Ekfalk Animal Center | Hundhotell Stockholm-Arlanda,Märsta,Stockholms län,bokning@ekfalkanimalcenter.se,https://www.ekfalkanimalcenter.se,https://www.facebook.com/ekfalkanimalcenter,google_maps,"ALTUNA 111, 195 93 Märsta",070-883 14 57,serpapi_google_maps
Hundgrottan,Stockholm,Stockholms län,hundgrottan@hundgrottan.com,http://www.hundgrottan.se,https://facebook.com/hundgrottan,google_maps,"Döbelnsgatan 93, 113 52 Stockholm",08-437 471 37,serpapi_google_maps
Shaulins kennel,Stockholm,Stockholms län,boel.schaulin@gmail.com,https://shaulin.webnode.se/kontakt,,google_maps,"Skeppsbron 2, 111 30 Stockholm",08-21 85 43,serpapi_google_maps
Jaktlyans Kennel,Norrby,Stockholms län,,http://www.jaktlyan.nu,,google_maps,"Norrbyvägen 46, 136 74 Norrby",070-324 01 62,serpapi_google_maps
Changdobels - Gärdet Hunddagis,Stockholm,Stockholms län,gardet@changdobels.se,https://changdobels.se/hunddagis/gardet-hunddagis,https://www.facebook.com/gardethunddagis,google_maps,"Sandhamnsgatan 75, 115 28 Stockholm",08-512 561 00,serpapi_google_maps
Changdobels - Danderyd Hundiversum,Danderyd,Stockholms län,hundiversum@changdobels.se,https://changdobels.se/hunddagis/hundiversum-hunddagis,https://www.facebook.com/Changdobelshundiversum,google_maps,"Rinkebyvägen 15, 182 36 Danderyd",08-512 561 00,serpapi_google_maps
Hundringen,Johanneshov,Stockholms län,info@hund-ringen.se,https://www.hringen.se,https://www.facebook.com/hundringenjohanneshov,google_maps,"Fyrskeppsvägen 80, 121 54 Johanneshov",076-945 98 78,serpapi_google_maps
Dogcare hunddagis,Johanneshov,Stockholms län,info@hunddagis.se,https://www.hunddagis.se,,google_maps,"Arkövägen 38, 121 55 Johanneshov",08-39 31 21,serpapi_google_maps
Dog Tajm AB,Bandhagen,Stockholms län,,http://www.dogtajm.se,,google_maps,"Stallarholmsvägen 10, 124 59 Bandhagen",076-017 03 81,serpapi_google_maps
Sweet Desires Kennel,Stockholm,Stockholms län,info@sweetdesireskennel.se,http://www.sweetdesireskennel.se/kontakt/contact,,google_maps,"Järingegränd, 163 63 Stockholm",08-36 13 16,serpapi_google_maps
Ellios Hund & Katt,Stockholm,Stockholms län,info@ellios.se,http://www.ellios.se,https://sv-se.facebook.com/ellioshundokatt,google_maps,"Erik Dahlbergsgatan 18, 115 32 Stockholm",08-783 00 52,serpapi_google_maps
Hundens Hus,Bromma,Stockholms län,stockholm@hundenshus.se,http://hundenshus.se,https://www.facebook.com/HundensHus,google_maps,"Åkeshovs gårdsväg 6, 168 38 Bromma",073-532 46 89,serpapi_google_maps
Urban Dogs,Stockholm,Stockholms län,info@urbandogssthlm.se,https://urbandogssthlm.se,https://facebook.com/UrbanDogssthlm,google_maps,"Parkgatan 20, 112 30 Stockholm",070-799 49 83,serpapi_google_maps
Norra Stockholms Hundcenter,Täby,Stockholms län,info@norrastockholmshundcenter.se,http://norrastockholmshundcenter.se,https://www.facebook.com/norrastockholmshundcenter,google_maps,"Leverantörsvägen 19, 187 66 Täby",08-425 049 69,serpapi_google_maps
Nativedog,Stockholm,Stockholms län,info@nativedog.se,https://www.nativedog.se,https://www.facebook.com/Nativedogse-2203555856557292,google_maps,"Vinterviken, 117 65 Stockholm",073-595 20 97,serpapi_google_maps
Hundhallen,Haninge,Stockholms län,info@vegahundcenter.se,http://www.hundhallen.se,,google_maps,"Nynäsvägen 3F, 136 47 Haninge",070-727 29 72,serpapi_google_maps
Stockholms Hundforum Hunddagis Kungsholmen - Fridhemsplan,Stockholm,Stockholms län,info@stockholmshundforum.se,http://stockholmshundforum.se,https://www.facebook.com/stockholmshundforum,google_maps,"Celsiusgatan 6, 112 30 Stockholm",08-651 30 68,serpapi_google_maps
Stockholms Hundforum Hunddagis Vasastan - Odenplan,Stockholm,Stockholms län,info@stockholmshundforum.se,https://stockholmshundforum.se,https://www.facebook.com/stockholmshundforum,google_maps,"Karlbergsvägen 32B, 113 27 Stockholm",08-22 44 10,serpapi_google_maps
Stockholms Hundforum Hunddagis Kungsholmen - Thorildsplan,Stockholm,Stockholms län,info@stockholmshundforum.se,https://stockholmshundforum.se,https://www.facebook.com/stockholmshundforum,google_maps,"Gyllenborgsgatan 8, 112 43 Stockholm",08-656 93 95,serpapi_google_maps
Karma Hundcenter,Stockholm,Stockholms län,info@karmahundcenter.se,https://karmahundcenter.se,https://www.facebook.com/karmahundcenter,google_maps,"Roslagsgatan 57, 113 54 Stockholm",073-734 20 85,serpapi_google_maps
Stockholms Hundforum Hunddagis Södermalm - Hornstull,Stockholm,Stockholms län,info@stockholmshundforum.se,https://stockholmshundforum.se,https://www.facebook.com/stockholmshundforum,google_maps,"Hornsgatan 182, 117 34 Stockholm",08-711 41 91,serpapi_google_maps
Stockholms Hundsportcentrum AB,Upplands Väsby,Stockholms län,info@stockholmshundsportcentrum.se,http://stockholmshundsportcentrum.se,https://www.facebook.com/stockholmshundsportcentrum,google_maps,"Runsavägen 10, 194 91 Upplands Väsby",070-292 29 20,serpapi_google_maps
Kennel Superior White,Danderyd,Stockholms län,post@kennelsw.se,http://kennelsw.se/Kontakt.html,,google_maps,"Klubbvägen 5, 182 57 Danderyd",070-271 50 05,serpapi_google_maps
Hund & Katt Vasastan,Stockholm,Stockholms län,,http://www.hundokatt.nu,,google_maps,"Odengatan 35, 113 51 Stockholm",070-578 80 72,serpapi_google_maps
