namn,stad,lan,email,hemsida,facebook,kalla
Västerås hunddagis,Västerås,Västmanlands län,,,,google_maps
Vickans Happy Dogs Hunddagis,Västerås,Västmanlands län,,http://www.happydogsdagis.se,,google_maps
Vickans Hunddagis,Västerås,Västmanlands län,vickanshundcenter@hotmail.com,http://www.vickanshundcenter.se,,google_maps
Aurora Hunddagis,Västerås,Västmanlands län,info@aurorahunddagis.se,https://www.aurorahunddagis.se,https://www.facebook.com/profile.php,google_maps
HundHjarta Hälla,Västerås,Västmanlands län,info@hundhjarta.se,https://www.hundhjarta.se,,google_maps
HundHjärta,Västerås,Västmanlands län,info@hundhjarta.se,http://www.hundhjarta.se,,google_maps
Önsta Hunddagis,Västerås,Västmanlands län,info@hundexa.se,http://www.onstahunddagis.se,https://facebook.com/%C3%96nsta-Hunddagis-201704973203327,google_maps
Vickans Hundcenter,Skultuna,Västmanlands län,vickanshundcenter@hotmail.com,http://www.vickanshundcenter.se,,google_maps
Västerås Hundklipp,Västerås,Västmanlands län,,,,google_maps
R4`s Djurpensionat,Västerås,Västmanlands län,r4_hunddagis@hotmail.com,http://www.r4.se,https://www.facebook.com/R4djurpensionat,google_maps
Min Gård's Hundpensionat,Kolbäck,Västmanlands län,mingardsab@gmail.com,http://www.mingardshunderi.se,,google_maps
Uppsala Hunddagis,Uppsala,Uppsala län,kontakt@uppsalahunddagis.se,http://www.uppsalahunddagis.se,https://sv-se.facebook.com/Hundprylar,google_maps
Stadshunden,Uppsala,Uppsala län,,http://stadshunden.se,,google_maps
Unique Dogs Hundagis,Uppsala,Uppsala län,susanne@uniquedogs.eu,http://www.uniquedogs.eu,https://www.facebook.com/HungryHeartsKennel,google_maps
Hundra hundar hunddagis Hammarbyallén,Uppsala,Uppsala län,hundra.hundar@live.se,http://www.hundrahundar.nu,,google_maps
Pet Store Sweden,Uppsala,Uppsala län,kontakt@petstoresweden.com,http://www.petstoresweden.com,,google_maps
4is Tassar AB,Uppsala,Uppsala län,fyrislund93@gmail.com,https://4istassar.se,https://www.facebook.com/profile.php,google_maps
Unique Dogs Petite,Uppsala,Uppsala län,susanne@uniquedogs.eu,https://www.uniquedogs.eu,https://www.facebook.com/HungryHeartsKennel,google_maps
Hundra Hundar hunddagis vipängen,Uppsala,Uppsala län,hundra.hundar@live.se,http://www.hundrahundar.nu,,google_maps
Carinas hunddagis,Uppsala,Uppsala län,,,,google_maps
Vaksala hunddagis,Uppsala,Uppsala län,vaksalahunddagis@hotmail.com,http://www.vaksalahunddagis.com,http://www.facebook.com/vaksalahunddagis,google_maps
Norrhund AB,Uppsala,Uppsala län,norrhund@gmail.com,http://www.norrhund.se,https://www.facebook.com/NorrHund-AB-298490190178915,google_maps
