namn,friendly_name,stad,lan,email,hemsida,facebook,kalla,skickat,datum,tid
Västerås hunddagis,Västerås,Västerås,Västmanlands län,,,,google_maps,,,
Vickans Happy Dogs Hunddagis,Vickans Happy Dogs,Västerås,Västmanlands län,,http://www.happydogsdagis.se,,google_maps,,,
Vickans Hunddagis,Vickans,Västerås,Västmanlands län,vickanshundcenter@hotmail.com,http://www.vickanshundcenter.se,,google_maps,skickat,2026-03-30,12:53
Aurora Hunddagis,Aurora,Västerås,Västmanlands län,info@aurorahunddagis.se,https://www.aurorahunddagis.se,https://www.facebook.com/profile.php,google_maps,skickat,2026-03-30,12:53
HundHjarta Hälla,HundHjarta Hälla,Västerås,Västmanlands län,info@hundhjarta.se,https://www.hundhjarta.se,,google_maps,skickat,2026-03-30,12:53
HundHjärta,HundHjärta,Västerås,Västmanlands län,info@hundhjarta.se,http://www.hundhjarta.se,,google_maps,skickat,2026-03-30,12:55
Önsta Hunddagis,Önsta,Västerås,Västmanlands län,info@hundexa.se,http://www.onstahunddagis.se,https://facebook.com/%C3%96nsta-Hunddagis-201704973203327,google_maps,skickat,2026-03-30,12:57
Vickans Hundcenter,Vickans Hundcenter,Skultuna,Västmanlands län,vickanshundcenter@hotmail.com,http://www.vickanshundcenter.se,,google_maps,skickat,2026-03-30,12:57
Västerås Hundklipp,Västerås Hundklipp,Västerås,Västmanlands län,,,,google_maps,,,
R4`s Djurpensionat,R4's,Västerås,Västmanlands län,r4_hunddagis@hotmail.com,http://www.r4.se,https://www.facebook.com/R4djurpensionat,google_maps,skickat,2026-03-30,12:57
Min Gård's Hundpensionat,Min Gård's,Kolbäck,Västmanlands län,mingardsab@gmail.com,http://www.mingardshunderi.se,,google_maps,skickat,2026-03-30,13:03
Uppsala Hunddagis,Uppsala Hunddagis,Uppsala,Uppsala län,kontakt@uppsalahunddagis.se,http://www.uppsalahunddagis.se,https://sv-se.facebook.com/Hundprylar,google_maps,skickat,2026-03-30,13:03
Stadshunden,Stadshunden,Uppsala,Uppsala län,,http://stadshunden.se,,google_maps,,,
Unique Dogs Hundagis,Unique Dogs,Uppsala,Uppsala län,susanne@uniquedogs.eu,http://www.uniquedogs.eu,https://www.facebook.com/HungryHeartsKennel,google_maps,skickat,2026-03-30,13:03
Hundra hundar hunddagis Hammarbyallén,Hundra hundar Hammarbyallén,Uppsala,Uppsala län,hundra.hundar@live.se,http://www.hundrahundar.nu,,google_maps,skickat,2026-03-30,13:05
Pet Store Sweden,Pet Store Sweden,Uppsala,Uppsala län,kontakt@petstoresweden.com,http://www.petstoresweden.com,,google_maps,,,
4is Tassar AB,4is Tassar,Uppsala,Uppsala län,fyrislund93@gmail.com,https://4istassar.se,https://www.facebook.com/profile.php,google_maps,skickat,2026-03-30,13:05
Unique Dogs Petite,Unique Dogs Petite,Uppsala,Uppsala län,susanne@uniquedogs.eu,https://www.uniquedogs.eu,https://www.facebook.com/HungryHeartsKennel,google_maps,skickat,2026-03-30,13:05
Hundra Hundar hunddagis vipängen,Hundra Hundar vipängen,Uppsala,Uppsala län,hundra.hundar@live.se,http://www.hundrahundar.nu,,google_maps,skickat,2026-03-30,13:09
Carinas hunddagis,Carinas,Uppsala,Uppsala län,,,,google_maps,,,
