namn,stad,lan,email,hemsida,facebook,kalla,raw_address,phone,raw_source
Västerås hunddagis,Västerås,Västmanlands län,,,,google_maps,"Flottiljgatan 59, 721 31 Västerås",076-170 15 28,serpapi_google_maps
Vickans Happy Dogs Hunddagis,Västerås,Västmanlands län,,http://www.happydogsdagis.se,,google_maps,"Bastborregatan, 721 34 Västerås",073-643 84 83,serpapi_google_maps
Vickans Hunddagis,Västerås,Västmanlands län,vickanshundcenter@hotmail.com,http://www.vickanshundcenter.se,,google_maps,"Humlegatan 37, 722 26 Västerås",,serpapi_google_maps
Aurora Hunddagis,Västerås,Västmanlands län,info@aurorahunddagis.se,https://www.aurorahunddagis.se,https://www.facebook.com/profile.php,google_maps,"Skallbergsgatan 2, 722 21 Västerås",072-741 14 11,serpapi_google_maps
HundHjarta Hälla,Västerås,Västmanlands län,info@hundhjarta.se,https://www.hundhjarta.se,,google_maps,"Fältmätargatan 16, 721 35 Västerås",076-837 87 49,serpapi_google_maps
HundHjärta,Västerås,Västmanlands län,info@hundhjarta.se,http://www.hundhjarta.se,,google_maps,"Saltängsvägen 10B, 721 32 Västerås",076-837 87 49,serpapi_google_maps
Önsta Hunddagis,Västerås,Västmanlands län,info@hundexa.se,http://www.onstahunddagis.se,https://facebook.com/%C3%96nsta-Hunddagis-201704973203327,google_maps,"Önstavägen 3, 722 43 Västerås",079-102 96 99,serpapi_google_maps
Vickans Hundcenter,Skultuna,Västmanlands län,vickanshundcenter@hotmail.com,http://www.vickanshundcenter.se,,google_maps,"Harakers Åkerby 1, 726 91 Skultuna",073-643 84 83,serpapi_google_maps
Västerås Hundklipp,Västerås,Västmanlands län,,,,google_maps,"Saltängsvägen 10b, 721 32 Västerås",076-837 87 49,serpapi_google_maps
R4`s Djurpensionat,Västerås,Västmanlands län,r4_hunddagis@hotmail.com,http://www.r4.se,https://www.facebook.com/R4djurpensionat,google_maps,"Brandthovdagatan 22, 721 35 Västerås",021-13 49 93,serpapi_google_maps
Min Gård's Hundpensionat,Kolbäck,Västmanlands län,mingardsab@gmail.com,http://www.mingardshunderi.se,,google_maps,"Årby 38, Min Gård's Hunderi AB, 734 93 Kolbäck",070-299 94 19,serpapi_google_maps
Uppsala Hunddagis,Uppsala,Uppsala län,kontakt@uppsalahunddagis.se,http://www.uppsalahunddagis.se,https://sv-se.facebook.com/Hundprylar,google_maps,"Vattholmavägen 63, 754 40 Uppsala",018-13 03 03,serpapi_google_maps
Stadshunden,Uppsala,Uppsala län,,http://stadshunden.se,,google_maps,"Bolandsgatan 15B, 753 23 Uppsala",073-615 75 19,serpapi_google_maps
Unique Dogs Hundagis,Uppsala,Uppsala län,susanne@uniquedogs.eu,http://www.uniquedogs.eu,https://www.facebook.com/HungryHeartsKennel,google_maps,"Danmarksgatan 20, 753 23 Uppsala",072-239 69 44,serpapi_google_maps
Hundra hundar hunddagis Hammarbyallén,Uppsala,Uppsala län,hundra.hundar@live.se,http://www.hundrahundar.nu,,google_maps,"Hammarbyallén, 756 47 Uppsala",070-813 55 03,serpapi_google_maps
Pet Store Sweden,Uppsala,Uppsala län,kontakt@petstoresweden.com,http://www.petstoresweden.com,,google_maps,"Fyrisvallsgatan 22, 752 28 Uppsala",076-616 53 16,serpapi_google_maps
4is Tassar AB,Uppsala,Uppsala län,fyrislund93@gmail.com,https://4istassar.se,https://www.facebook.com/profile.php,google_maps,"Stålgatan 8, 751 08 Uppsala",018-12 61 51,serpapi_google_maps
Unique Dogs Petite,Uppsala,Uppsala län,susanne@uniquedogs.eu,https://www.uniquedogs.eu,https://www.facebook.com/HungryHeartsKennel,google_maps,"Hjalmar Brantingsgatan 10kv, 753 27 Uppsala",072-239 69 44,serpapi_google_maps
